mine_id,equipment_type,shift,maintenance_status,operating_hours,temperature_C,vibration,pressure_bar,dust_level_ug,rpm,oil_temp_C,load_percentage,humidity_pct,bearing_temp_C,machine_failure
OD-002,Conveyor,Afternoon,On Schedule,5013.7,94.32,2.4577,92.4,283.44,1014.5,64.67,63.8,92.61,106.48,0
JH-001,Excavator,Morning,Recent,9575.1,82.12,2.7448,119.07,105.37,1403.4,58.43,87.41,82.11,88.29,1
JH-002,Crusher,Afternoon,On Schedule,4341.3,57.78,1.0926,73.39,302.55,1608.8,91.5,99.64,63.1,74.26,0
OD-001,Crusher,Morning,Overdue,11674.3,37.42,1.1338,107.5,287.88,1889.1,79.0,32.39,40.13,44.51,1
JH-001,Dumper,Night,On Schedule,11026.4,44.36,1.8833,104.77,249.02,1437.9,91.23,84.55,54.57,52.83,1
JH-002,Loader,Night,Overdue,1029.2,46.73,2.1391,137.25,229.3,1202.3,81.05,113.03,47.67,55.07,0
CG-002,Dumper,Afternoon,On Schedule,10243.8,74.97,2.4504,108.77,33.32,1728.6,80.79,68.25,75.6,80.33,1
CG-002,Dumper,Afternoon,On Schedule,8118.0,55.22,3.6998,75.45,167.51,1498.6,60.26,109.36,39.51,65.12,1
CG-002,Conveyor,Afternoon,Overdue,758.3,46.56,1.3875,,298.69,1157.7,75.61,84.31,54.83,57.73,0
OD-001,Dumper,Afternoon,On Schedule,11468.9,36.36,3.1331,63.1,20.25,1153.7,63.34,57.11,33.07,44.29,1
CG-002,Drill Rig,Night,Recent,10018.5,61.66,2.7676,118.33,48.15,1081.7,56.25,81.97,44.77,76.61,0
JH-001,Drill Rig,Morning,Overdue,10008.9,49.51,2.1502,44.69,56.37,,90.31,42.27,93.76,58.81,1
OD-002,Dumper,Afternoon,On Schedule,10996.2,43.02,2.4681,88.49,214.04,1642.9,63.46,55.21,47.23,50.34,1
OD-001,Crusher,Night,On Schedule,11060.9,86.9,4.907,,275.23,1256.4,84.77,44.33,49.38,96.34,1
JH-001,Crusher,Night,Recent,2707.0,46.16,0.4635,150.47,194.45,2546.6,75.3,113.98,49.56,57.66,0
CG-001,Conveyor,Afternoon,On Schedule,11254.6,57.68,3.6291,,69.01,2112.8,65.87,46.52,28.04,62.02,0
OD-002,Excavator,Afternoon,On Schedule,670.4,,1.1619,58.39,280.33,1491.2,58.63,43.72,58.87,59.3,0
OD-001,Drill Rig,Morning,On Schedule,10589.0,87.89,1.9649,,256.08,1386.8,69.97,47.64,51.26,93.32,0
OD-001,Dumper,Afternoon,On Schedule,5534.9,49.83,1.2359,140.3,241.63,1967.3,81.56,64.17,55.54,57.67,1
OD-001,Crusher,Afternoon,Overdue,9990.9,51.48,3.9497,109.92,244.81,1796.1,79.41,74.7,32.52,52.74,0
CG-001,Crusher,Night,On Schedule,3349.2,41.25,3.1519,98.11,220.93,1938.9,79.22,40.05,59.59,48.67,1
JH-001,Crusher,Night,Recent,9082.9,,2.0752,,289.61,1848.0,57.65,60.2,46.72,46.95,1
OD-002,Conveyor,Night,On Schedule,9675.9,50.62,3.0099,99.7,270.91,1501.0,71.11,109.49,22.16,65.42,1
OD-002,Drill Rig,Morning,Recent,1063.2,57.99,2.6667,87.4,215.2,1367.5,98.11,87.69,37.24,62.76,0
OD-002,Conveyor,Morning,Overdue,10981.5,39.86,0.907,71.81,217.76,1036.0,77.38,82.42,24.57,59.46,1
OD-001,Dumper,Afternoon,On Schedule,9825.3,72.18,3.0119,124.18,213.24,1761.7,89.41,85.79,30.77,78.76,1
JH-002,Dumper,Morning,Overdue,7186.0,40.16,1.5362,78.85,251.26,751.5,85.32,88.23,64.99,59.62,1
OD-001,Crusher,Night,Overdue,8524.4,75.24,3.3826,93.83,78.27,1802.3,57.97,70.47,80.41,79.21,1
JH-002,Crusher,Night,Recent,4215.3,68.89,,83.12,190.05,1731.1,76.75,67.44,36.17,79.29,0
CG-001,Drill Rig,Night,On Schedule,5699.7,57.83,4.3357,98.19,251.99,1668.6,63.62,69.14,71.7,63.6,1
CG-002,Excavator,Night,Recent,1853.6,64.19,2.581,125.35,307.43,1315.3,62.78,98.54,68.69,66.78,0
CG-001,Excavator,Morning,On Schedule,6048.9,57.31,1.6053,83.13,91.23,1712.3,57.9,84.16,51.82,70.66,0
CG-002,Drill Rig,Afternoon,Overdue,9415.6,80.12,6.0545,105.36,73.86,1634.5,79.13,75.31,46.52,82.74,1
OD-001,Loader,Morning,On Schedule,6744.9,35.24,3.0783,,297.15,1087.3,98.52,113.4,44.18,46.87,1
OD-001,Loader,Afternoon,On Schedule,1688.5,44.51,4.1384,67.62,175.92,1769.5,71.1,41.03,21.2,57.97,0
OD-002,Drill Rig,Morning,On Schedule,9971.7,32.2,0.8393,114.73,318.27,1442.7,82.39,27.23,68.75,36.9,1
JH-001,Excavator,Morning,On Schedule,8882.0,41.47,2.6093,102.67,158.49,2177.5,81.55,80.88,44.55,46.17,1
CG-001,Drill Rig,Night,On Schedule,544.5,70.86,2.9913,85.26,210.63,2003.1,,67.95,26.4,78.41,0
OD-001,Crusher,Morning,Recent,9678.1,81.38,4.1771,87.96,204.47,1839.8,81.19,51.94,38.54,62.26,1
JH-001,Dumper,Afternoon,Overdue,10396.4,18.13,2.2946,116.97,89.95,1757.3,79.83,96.35,93.48,21.98,1
OD-002,Conveyor,Night,On Schedule,6197.3,,2.443,110.26,228.05,1440.5,79.44,48.05,76.78,108.74,0
CG-002,Crusher,Afternoon,Recent,4605.3,40.86,3.5445,106.31,264.27,1410.5,72.53,58.75,30.63,46.45,0
JH-001,Excavator,Afternoon,On Schedule,1093.4,73.22,2.3173,78.63,115.7,1258.6,,28.17,52.66,89.29,0
JH-001,Drill Rig,Afternoon,Overdue,9956.5,75.94,2.9511,125.81,16.87,,86.53,88.81,71.13,82.63,1
CG-002,Excavator,Night,On Schedule,143.5,51.54,2.2701,123.64,104.92,1456.3,66.79,45.78,20.93,59.97,0
OD-001,Conveyor,Morning,Overdue,4187.5,50.65,4.8664,69.84,91.16,1313.7,88.24,86.65,32.53,61.05,0
JH-001,Crusher,Afternoon,Recent,4000.0,58.14,3.0461,51.34,268.12,1505.0,74.38,49.82,83.04,65.89,0
OD-002,Loader,Afternoon,On Schedule,10952.9,55.74,4.5705,,85.52,,87.08,86.17,66.44,62.0,1
JH-002,Excavator,Afternoon,Overdue,5446.6,42.73,8.0601,,104.58,1950.5,,57.69,72.13,21.68,1
OD-001,Conveyor,Morning,On Schedule,10675.0,55.32,1.9351,110.95,289.1,1357.3,89.53,38.57,56.06,68.49,0
OD-002,Conveyor,Morning,On Schedule,1162.6,92.86,1.9767,95.51,287.03,663.4,99.99,44.3,88.09,88.4,0
JH-001,Crusher,Morning,Overdue,10168.3,87.04,5.068,113.98,194.4,889.3,89.0,56.88,89.96,103.35,1
JH-002,Excavator,Morning,Overdue,7387.3,50.49,2.6091,75.07,70.66,1360.8,78.77,94.05,83.76,52.03,0
CG-001,Excavator,Afternoon,Overdue,6501.2,69.35,1.8826,99.68,60.31,,106.0,36.51,56.35,,0
OD-001,Dumper,Night,Overdue,3740.9,84.16,2.9726,172.77,141.56,922.8,74.13,25.84,26.01,98.4,0
OD-001,Dumper,Night,Recent,5935.4,70.21,5.5466,96.82,120.18,1981.4,87.9,103.93,43.77,87.86,0
JH-002,Conveyor,Night,Overdue,3354.1,44.88,4.1702,97.89,307.69,1370.2,71.07,58.62,78.5,58.24,0
CG-001,Loader,Afternoon,Overdue,5524.2,70.99,0.6562,94.57,189.07,1113.2,68.49,46.57,44.37,59.09,0
CG-002,Crusher,Afternoon,Overdue,9248.9,84.42,0.575,85.74,31.93,1863.4,85.95,104.76,76.71,91.49,0
OD-002,Conveyor,Afternoon,On Schedule,7543.3,37.79,2.2142,74.92,118.2,1513.8,83.15,91.61,76.96,52.35,1
CG-001,Dumper,Night,Recent,8198.4,105.24,2.088,112.85,163.58,1184.2,78.88,56.81,39.53,85.5,0
CG-001,Crusher,Morning,Overdue,10717.4,125.1,,118.71,92.56,,,88.89,45.02,103.42,1
OD-001,Conveyor,Afternoon,On Schedule,730.0,46.23,5.0643,114.88,105.35,1230.4,77.14,40.06,36.4,56.29,0
CG-002,Conveyor,Afternoon,On Schedule,2467.4,57.63,2.0644,83.05,20.1,1444.5,75.76,69.83,92.85,67.51,0
CG-002,Dumper,Night,Overdue,8717.9,75.72,2.3468,112.87,227.18,1482.1,54.62,25.37,76.07,78.82,0
OD-001,Loader,Night,On Schedule,4958.0,49.03,5.0033,,153.24,,87.87,39.56,82.64,58.74,0
CG-002,Dumper,Morning,Overdue,7837.5,55.24,1.8432,92.67,174.35,,66.56,86.62,86.11,65.17,0
OD-002,Conveyor,Night,Overdue,10783.4,56.52,2.8692,79.36,97.77,,64.57,44.41,84.4,70.52,1
CG-001,Loader,Morning,On Schedule,8858.4,86.66,2.3863,109.51,314.2,1331.9,82.01,37.07,21.42,101.45,0
JH-001,Conveyor,Afternoon,Overdue,11204.1,27.84,3.0289,94.97,63.16,1032.6,95.16,39.47,39.97,42.19,1
CG-001,Excavator,Morning,Overdue,1908.1,50.97,3.1478,123.32,118.69,,84.33,109.78,94.55,67.07,0
CG-001,Excavator,Night,On Schedule,9103.9,38.78,,106.09,304.41,2252.3,82.54,41.52,46.48,49.35,1
CG-002,Drill Rig,Night,Overdue,8461.3,83.99,3.6305,116.94,314.6,1163.8,90.65,99.78,88.52,99.96,1
JH-002,Loader,Night,Overdue,189.9,67.9,1.0739,136.26,234.47,1088.3,74.3,63.11,43.33,82.71,0
JH-002,Loader,Night,Overdue,611.4,55.36,3.8861,94.52,139.32,1282.6,82.34,48.34,39.12,73.44,0
OD-001,Drill Rig,Morning,Recent,501.9,87.94,1.9826,58.58,200.4,1197.8,75.96,112.6,72.36,96.0,0
CG-002,Drill Rig,Morning,On Schedule,6378.6,79.22,2.8369,151.95,56.45,1285.9,83.45,101.07,72.7,85.86,0
OD-002,Dumper,Morning,Recent,9340.5,57.74,2.0501,45.81,306.87,2059.4,66.74,75.15,79.87,,0
JH-001,Dumper,Night,On Schedule,4923.8,48.78,5.4801,77.4,280.37,1700.9,82.93,60.31,38.87,61.69,0
CG-002,Loader,Night,On Schedule,138.4,13.43,0.6952,110.08,232.22,1782.1,87.17,88.55,45.76,30.47,0
JH-002,Dumper,Morning,On Schedule,2181.2,23.34,2.643,104.95,149.74,1451.2,,45.29,51.23,32.0,0
CG-002,Conveyor,Afternoon,Overdue,11387.2,57.35,3.2094,113.89,83.35,1335.2,,28.1,45.85,68.75,0
CG-002,Excavator,Morning,On Schedule,3011.5,,3.7653,,71.77,,95.76,89.33,86.08,44.29,0
JH-002,Crusher,Morning,On Schedule,10255.3,78.74,5.0222,90.94,218.88,1454.5,96.63,36.54,24.19,88.47,1
JH-001,Excavator,Night,On Schedule,4507.6,75.42,3.6476,73.1,198.79,2114.6,93.2,39.39,91.05,82.66,0
CG-001,Conveyor,Morning,Recent,6303.4,74.32,7.3465,92.03,65.4,1768.5,,99.7,30.24,91.84,0
OD-002,Dumper,Afternoon,On Schedule,5927.8,65.68,2.7152,116.68,28.6,1410.8,74.71,48.24,49.4,,0
CG-002,Conveyor,Afternoon,Recent,1700.3,68.62,2.1998,122.42,150.18,1472.9,101.24,99.24,52.48,97.2,0
CG-001,Excavator,Night,Overdue,4457.3,46.03,1.8436,116.42,18.58,1431.6,75.68,45.04,88.55,51.52,0
OD-001,Crusher,Night,Recent,11995.8,55.05,2.9212,131.13,302.91,1506.7,73.02,108.8,37.98,62.69,0
OD-001,Crusher,Morning,Recent,6813.1,65.27,7.1372,413.35,269.94,1918.4,91.87,112.21,62.5,75.12,1
CG-002,Loader,Morning,Overdue,5636.3,70.83,1.1636,97.89,203.73,1212.4,73.71,41.81,81.63,69.3,0
OD-001,Excavator,Morning,On Schedule,6634.8,27.48,6.492,110.42,48.43,2025.6,68.56,111.37,40.24,,1
JH-001,Drill Rig,Night,On Schedule,3229.8,63.68,3.3074,129.59,256.51,1808.5,44.6,85.24,80.28,77.48,0
JH-001,Drill Rig,Morning,On Schedule,6839.8,57.94,7.2924,90.38,73.76,1087.3,94.76,80.1,31.35,65.16,0
JH-002,Crusher,Morning,On Schedule,8767.0,40.35,2.7386,89.38,107.64,1632.3,76.29,43.92,27.72,,1
CG-002,Loader,Morning,On Schedule,1357.6,40.1,1.1356,69.69,302.83,1068.0,75.4,45.78,34.48,56.18,1
JH-002,Loader,Night,Overdue,3413.6,69.7,,135.3,294.99,1263.1,71.57,101.68,83.63,78.44,1
JH-001,Loader,Night,Overdue,2586.2,63.89,2.4892,,105.8,,67.05,52.74,80.22,,0
OD-001,Conveyor,Night,Recent,8964.1,77.97,1.5676,115.77,300.23,1327.1,87.17,109.7,40.38,91.58,1
CG-001,Loader,Night,Overdue,11234.4,43.97,1.7792,311.45,312.05,1567.8,81.12,54.03,82.52,44.59,1
CG-001,Conveyor,Night,Recent,5153.8,51.7,3.316,71.76,34.44,1388.7,70.16,101.31,61.13,60.01,0
CG-001,Loader,Night,Overdue,7635.6,72.99,4.1032,132.45,27.15,1718.1,62.45,53.88,22.32,,1
OD-001,Crusher,Night,Overdue,471.4,101.87,2.2354,154.25,285.65,1178.9,76.05,102.63,26.05,111.55,1
JH-002,Excavator,Morning,Recent,1664.7,72.38,1.5255,,211.49,1412.6,65.97,98.1,66.02,83.15,0
CG-002,Crusher,Afternoon,Overdue,4675.0,77.75,0.8149,55.15,247.1,1751.1,97.48,111.24,35.45,,0
CG-002,Dumper,Morning,Recent,8006.3,72.27,2.8193,,206.08,2226.7,66.95,51.43,33.41,80.67,1
OD-002,Loader,Afternoon,Recent,7719.9,78.59,2.4447,62.69,258.97,2425.2,80.62,93.25,56.28,79.16,0
CG-001,Excavator,Afternoon,Overdue,2386.7,87.72,2.3371,92.77,244.55,1471.3,,102.98,61.77,95.38,0
OD-001,Excavator,Night,On Schedule,1681.5,42.53,1.9515,142.11,283.11,2001.3,87.43,90.71,80.02,28.37,1
CG-001,Conveyor,Afternoon,On Schedule,11263.1,59.85,2.8587,66.06,61.38,1778.5,67.64,48.87,36.37,72.09,0
CG-002,Excavator,Afternoon,On Schedule,4328.8,38.99,0.8251,110.28,204.43,978.6,77.63,90.7,45.38,61.24,0
JH-002,Loader,Night,On Schedule,5579.1,51.56,3.882,98.78,266.61,1478.7,57.96,87.51,87.16,,0
CG-001,Excavator,Morning,Overdue,1234.8,66.16,2.5413,131.18,115.51,959.6,75.27,54.27,37.28,83.05,0
JH-002,Drill Rig,Morning,On Schedule,10931.8,89.63,7.3502,79.26,317.45,898.7,68.24,92.78,75.6,97.09,1
JH-002,Drill Rig,Night,Overdue,8049.4,37.17,3.4942,102.02,143.29,1365.4,75.08,107.52,93.12,41.6,1
CG-001,Loader,Night,Overdue,6168.7,60.98,8.4473,,267.72,1433.9,73.9,74.05,62.63,,1
OD-001,Loader,Afternoon,On Schedule,5232.1,97.27,2.6772,102.97,314.93,1387.3,97.56,98.37,20.65,105.19,1
OD-001,Loader,Afternoon,Recent,712.4,30.61,,113.27,147.46,,80.99,25.96,48.37,41.01,0
JH-001,Excavator,Morning,Overdue,2650.1,34.5,1.5895,81.09,66.99,1155.1,76.34,76.77,87.91,47.27,0
OD-001,Dumper,Afternoon,Recent,10287.3,67.8,1.877,25.61,201.16,1131.7,73.93,93.82,22.48,,0
OD-002,Excavator,Morning,Overdue,7504.2,,5.4946,116.18,20.93,1299.2,79.44,45.23,79.97,60.19,1
JH-002,Loader,Morning,On Schedule,2407.1,53.49,4.386,95.33,194.6,1580.1,84.71,69.16,57.94,59.77,0
OD-002,Crusher,Morning,Recent,2351.5,89.17,2.2154,71.97,293.5,2044.9,71.46,98.06,78.31,93.3,0
CG-001,Excavator,Night,On Schedule,4266.5,59.19,3.1584,121.49,195.47,1353.6,80.48,63.66,30.62,65.22,0
JH-001,Loader,Night,On Schedule,7422.0,83.62,4.5326,137.91,32.79,1651.0,116.55,78.98,31.47,88.41,1
OD-001,Crusher,Morning,Overdue,6554.7,50.73,0.9148,298.59,319.2,1206.6,70.89,102.99,57.27,58.13,0
JH-001,Drill Rig,Afternoon,On Schedule,6371.7,75.88,3.9737,108.73,85.93,880.0,82.21,84.94,78.04,88.51,0
CG-001,Drill Rig,Afternoon,Recent,10440.3,64.89,1.6103,130.16,304.96,2026.6,90.38,56.54,67.38,75.72,0
JH-001,Dumper,Morning,On Schedule,10348.9,64.77,2.7163,98.22,60.42,,53.4,80.35,40.86,74.56,0
CG-002,Excavator,Morning,On Schedule,10157.9,,1.258,73.9,191.53,1169.2,60.4,35.16,81.09,75.12,0
JH-002,Drill Rig,Morning,On Schedule,8459.2,46.03,1.5472,129.6,129.18,878.5,76.71,64.73,42.76,,1
OD-002,Conveyor,Morning,On Schedule,4770.2,79.92,,54.59,196.14,843.5,78.95,28.62,65.43,92.52,0
JH-002,Excavator,Night,On Schedule,3305.2,63.62,2.3326,,256.19,1582.7,73.12,88.91,57.78,69.77,0
OD-002,Loader,Afternoon,Recent,11472.7,,2.6083,98.78,148.32,,100.61,111.61,45.46,,1
JH-001,Loader,Afternoon,On Schedule,638.9,82.77,,101.57,164.51,,80.0,65.36,42.9,95.31,0
JH-001,Dumper,Morning,Overdue,7458.8,51.69,6.7933,91.38,64.6,1115.1,73.89,94.45,75.46,56.05,1
JH-001,Dumper,Morning,On Schedule,10168.9,41.44,2.772,67.16,319.26,,83.52,57.86,37.76,52.36,1
JH-002,Excavator,Afternoon,On Schedule,3335.8,44.97,2.5376,50.68,194.38,1967.5,65.46,87.56,80.68,60.02,1
JH-002,Dumper,Night,Recent,11747.1,73.65,2.6972,121.8,90.65,1616.7,86.77,80.8,60.14,76.72,0
CG-001,Crusher,Night,On Schedule,10642.5,35.97,4.3268,75.57,68.47,1008.8,65.41,92.81,65.36,46.36,1
JH-002,Loader,Afternoon,On Schedule,2472.0,92.66,3.068,,48.58,903.4,,77.35,85.29,104.77,0
CG-001,Drill Rig,Afternoon,Overdue,3316.7,85.74,1.9363,102.95,194.78,1126.3,91.74,52.86,46.23,104.45,0
JH-002,Dumper,Afternoon,On Schedule,10777.9,44.02,5.4619,71.94,206.3,1768.9,74.15,72.48,46.04,61.8,1
OD-002,Conveyor,Morning,On Schedule,1400.1,44.59,2.714,60.32,24.67,2012.5,59.53,35.91,92.29,,0
JH-001,Excavator,Afternoon,On Schedule,2342.9,46.94,3.7836,68.95,41.15,1818.5,75.29,105.71,26.14,60.85,1
CG-001,Excavator,Night,Overdue,7341.7,59.98,3.6709,137.84,199.87,1054.2,93.8,57.17,59.44,70.29,1
JH-002,Dumper,Afternoon,On Schedule,1849.5,91.48,4.8295,81.57,108.04,514.5,75.21,74.2,35.39,97.26,0
CG-001,Excavator,Morning,On Schedule,6913.3,21.59,1.1794,86.24,196.69,1796.0,,103.02,82.18,37.44,1
CG-002,Crusher,Afternoon,Overdue,6949.0,84.54,1.4081,107.06,218.92,1136.7,82.11,37.63,67.75,99.87,0
OD-002,Excavator,Night,On Schedule,7196.6,78.9,2.909,96.0,319.46,1633.6,73.03,32.55,62.75,88.44,0
OD-001,Conveyor,Night,On Schedule,3083.3,60.92,4.3224,78.75,292.62,1776.2,79.3,47.7,83.67,75.7,0
OD-001,Drill Rig,Afternoon,Overdue,9870.9,,1.8567,147.95,25.97,1707.5,61.91,43.2,67.6,63.51,1
JH-001,Loader,Morning,On Schedule,11648.3,71.41,3.1244,88.61,317.65,1452.6,82.07,60.12,20.13,,0
CG-002,Crusher,Afternoon,Overdue,3406.8,73.39,5.2712,102.23,15.51,1202.1,97.16,96.12,29.89,87.66,0
OD-001,Drill Rig,Morning,Recent,10399.4,60.5,3.7621,70.11,193.79,1807.8,83.89,36.02,77.96,72.93,1
JH-001,Dumper,Night,Overdue,3587.3,18.62,1.6383,114.95,114.23,1894.8,73.0,51.49,54.23,24.25,0
JH-002,Crusher,Morning,On Schedule,4252.2,44.49,7.102,82.71,249.93,1436.4,81.67,51.34,34.11,51.77,0
JH-002,Crusher,Morning,On Schedule,9446.8,64.15,2.5463,88.5,265.13,2083.5,,93.33,62.55,73.07,0
CG-001,Loader,Afternoon,Overdue,1734.2,28.36,1.0395,66.29,268.28,1637.6,,56.22,59.0,48.25,0
OD-002,Drill Rig,Morning,Overdue,835.5,37.15,,54.14,41.98,1360.8,66.92,106.59,21.89,39.73,0
OD-002,Conveyor,Night,On Schedule,4700.9,,1.7285,127.42,53.55,1852.0,68.43,46.95,51.95,24.72,0
CG-001,Loader,Morning,Overdue,1643.2,85.97,2.8894,98.83,29.04,1529.6,77.0,74.83,70.82,,0
CG-001,Crusher,Afternoon,On Schedule,1046.7,100.98,,99.78,189.96,2499.6,83.66,29.49,40.57,113.18,0
OD-001,Drill Rig,Morning,On Schedule,7105.9,60.0,3.8123,114.57,207.06,1706.5,72.08,52.29,28.83,63.4,0
CG-002,Crusher,Afternoon,On Schedule,2289.3,72.68,1.8637,115.82,50.14,,94.21,42.53,35.58,90.97,0
CG-001,Crusher,Morning,On Schedule,3680.7,56.22,2.2018,63.47,211.62,1879.2,,62.9,46.16,68.76,0
CG-002,Conveyor,Night,Recent,8776.2,46.84,1.9935,100.22,266.43,1326.5,86.42,39.51,55.82,68.1,1
CG-002,Drill Rig,Morning,Overdue,1206.6,46.05,11.448,114.83,182.8,1243.0,49.07,105.9,37.06,58.8,1
JH-001,Crusher,Morning,On Schedule,11928.2,53.87,1.6798,91.19,102.42,1731.1,,58.22,73.32,65.41,1
JH-002,Drill Rig,Morning,On Schedule,3774.2,40.87,3.8146,128.36,297.03,799.9,69.95,41.07,43.22,47.87,1
JH-002,Dumper,Afternoon,Overdue,6593.0,45.04,1.3857,102.9,102.29,1055.2,87.5,31.28,21.95,53.47,0
OD-002,Drill Rig,Morning,Overdue,9523.0,82.11,0.8072,80.27,289.2,,84.62,77.11,80.16,,1
CG-001,Dumper,Night,Overdue,2920.4,55.52,3.2297,98.22,151.13,1277.0,77.95,68.78,76.24,69.15,0
JH-001,Excavator,Morning,Recent,4159.8,102.62,1.9102,101.78,239.8,1470.6,105.34,101.72,82.3,80.37,0
CG-002,Dumper,Morning,Recent,2554.6,64.93,1.878,108.67,285.64,1419.0,64.08,81.03,66.47,72.44,0
CG-001,Conveyor,Afternoon,On Schedule,4605.1,57.99,,69.41,196.96,1645.1,76.63,100.72,21.61,67.42,0
JH-001,Conveyor,Morning,Overdue,8845.7,59.09,3.2225,102.98,21.45,1345.4,62.88,27.86,46.3,73.76,0
JH-002,Excavator,Night,On Schedule,8601.7,,1.5086,82.15,167.46,1128.5,80.85,62.41,39.0,61.38,0
JH-002,Dumper,Morning,Overdue,2266.0,18.36,5.0439,57.12,73.85,1480.5,74.04,79.53,23.91,34.44,0
JH-002,Drill Rig,Night,On Schedule,5775.4,52.66,5.5157,61.23,57.53,1504.4,76.01,111.18,69.69,66.48,0
CG-001,Excavator,Morning,Overdue,8289.7,55.61,2.5871,140.04,92.17,1896.4,77.83,63.13,38.02,68.69,1
JH-001,Conveyor,Afternoon,Overdue,8884.0,84.98,3.0137,,36.56,611.0,69.51,28.13,94.92,85.58,1
OD-001,Loader,Night,Overdue,7668.8,81.74,3.0048,125.53,20.2,1463.6,76.47,33.25,51.11,89.51,0
OD-001,Dumper,Morning,Overdue,2418.4,64.1,2.0706,89.51,299.04,1793.7,73.76,59.66,54.42,75.6,0
CG-002,Dumper,Morning,On Schedule,10430.1,55.32,7.1645,27.39,29.16,1422.2,80.35,99.44,74.96,66.13,0
CG-001,Conveyor,Afternoon,On Schedule,3532.5,91.37,1.9097,,213.83,1581.3,47.24,81.37,49.88,102.38,0
JH-002,Crusher,Morning,Overdue,4502.1,74.7,9.5653,103.33,133.93,1567.4,,93.17,39.14,84.61,0
CG-002,Drill Rig,Night,Overdue,6746.1,87.14,1.0842,65.72,61.92,1809.2,67.47,25.28,48.81,91.27,0
CG-002,Excavator,Afternoon,On Schedule,10326.6,75.18,1.9977,114.18,198.33,1337.8,68.37,68.38,42.17,90.35,1
OD-001,Conveyor,Afternoon,On Schedule,7830.8,51.4,4.6599,132.79,163.28,1200.0,76.33,61.15,21.66,56.58,1
CG-002,Excavator,Night,Recent,8450.1,54.31,1.8103,143.13,276.23,1771.6,90.89,46.68,28.32,,1
OD-001,Loader,Night,Overdue,2674.8,76.83,2.5138,132.69,176.29,1595.3,74.52,108.56,23.98,92.12,0
CG-001,Dumper,Morning,Overdue,4295.5,56.73,1.6038,118.19,252.21,1041.2,66.46,85.82,75.04,60.82,0
JH-002,Drill Rig,Afternoon,On Schedule,1729.0,57.9,6.8464,62.55,48.97,1892.1,85.28,70.7,47.5,68.43,0
OD-002,Loader,Morning,Overdue,8869.2,95.91,1.5748,99.82,73.28,1449.9,81.1,36.14,74.3,121.35,1
CG-001,Crusher,Afternoon,On Schedule,11390.2,57.56,4.6821,84.2,107.66,1715.2,88.33,54.52,59.07,74.88,0
CG-002,Drill Rig,Afternoon,Recent,8844.9,39.97,1.2312,93.53,188.07,712.7,,101.95,81.18,43.76,1
OD-001,Conveyor,Afternoon,On Schedule,1583.7,78.87,4.9239,119.24,88.81,,79.08,69.98,71.66,90.46,0
CG-001,Dumper,Night,Overdue,8351.0,,2.343,94.62,102.75,2243.7,80.48,29.83,31.63,,0
JH-001,Drill Rig,Morning,On Schedule,5255.4,93.68,3.8221,59.1,83.31,2031.0,100.29,104.96,46.3,115.59,0
JH-001,Conveyor,Morning,Overdue,1196.2,,,133.66,57.83,1410.1,82.51,28.76,58.34,63.36,0
OD-002,Excavator,Morning,On Schedule,11993.7,57.48,1.3453,123.52,228.74,1103.2,,78.24,78.77,,1
CG-001,Excavator,Morning,Overdue,8717.1,59.98,2.1525,144.98,197.7,1029.0,81.8,69.51,29.36,69.9,1
JH-001,Drill Rig,Afternoon,Overdue,7507.0,60.11,2.4715,75.49,67.37,1294.4,101.02,89.31,57.1,71.09,1
JH-002,Drill Rig,Morning,On Schedule,10489.9,73.92,4.3551,,158.35,615.1,81.61,50.53,87.31,83.98,0
OD-001,Drill Rig,Morning,Overdue,3971.6,56.63,4.041,85.2,198.88,1195.3,70.98,60.29,93.3,64.73,1
OD-001,Dumper,Morning,On Schedule,8035.5,80.34,3.1925,122.99,213.76,1770.9,80.1,49.1,88.33,82.65,1
JH-002,Conveyor,Night,Overdue,5672.5,61.0,7.69,115.51,308.34,1364.0,67.25,53.53,51.21,69.15,1
JH-002,Loader,Morning,Recent,1575.0,55.54,3.165,121.89,67.89,2047.5,80.09,95.44,79.12,66.19,0
OD-002,Crusher,Night,Recent,6538.7,47.01,7.9836,105.01,30.55,2271.2,108.93,84.55,90.26,63.3,1
JH-001,Crusher,Afternoon,On Schedule,7619.7,58.45,2.3806,72.57,30.17,858.2,70.08,108.42,63.26,63.64,0
OD-002,Excavator,Night,Overdue,5731.7,48.67,3.6138,124.42,74.96,1029.2,58.41,45.38,24.62,56.38,1
CG-002,Conveyor,Morning,On Schedule,1590.7,71.38,6.4432,105.6,137.65,1708.8,71.54,33.52,66.1,76.77,0
OD-001,Dumper,Afternoon,On Schedule,995.9,,4.0144,108.58,243.83,1727.3,70.48,61.06,77.78,,0
JH-001,Excavator,Morning,On Schedule,8011.6,78.43,3.0628,80.29,271.54,1428.3,,53.75,56.68,91.97,0
CG-002,Crusher,Morning,Recent,10071.1,60.11,,86.74,41.24,1503.7,96.16,105.92,35.77,71.4,1
JH-002,Conveyor,Morning,Overdue,11096.7,53.84,2.7162,87.42,148.37,1779.2,62.19,43.25,48.66,58.08,0
OD-001,Drill Rig,Afternoon,Recent,4719.4,,1.1776,136.1,54.65,1417.3,82.32,67.35,89.42,31.81,0
OD-002,Drill Rig,Night,Overdue,11266.0,104.33,2.5742,139.51,202.24,1141.5,,101.84,58.38,101.0,1
