contractor_id,contractor_name,registration_number,contract_start_date,contract_end_date,contract_value,work_scope,worker_count,training_percentage,licence_number,licence_expiry,insurance_number,insurance_expiry,violations_count,risk_rating,address,phone,email
CON-105,ABC Mining Corp,REG-105-2020,2021-12-15,2026-12-14,3613316.16,Excavation Services,64,94.32,LIC-105,2027-12-01,INS-105,2027-04-20,8,High,"810 Mining Colony, Korba, Jharkhand - 828467",+91987658943762,contact@abcminingcorp.com
CON-106,XYZ Mining Services,REG-106-2020,2021-01-06,2026-01-05,22783467.57,Safety Services,255,97.97,LIC-106,2026-11-27,INS-106,2026-03-22,3,Medium,"638 Mining Colony, Bokaro, Odisha - 296293",+91987651077996,contact@xyzminingservices.com
CON-107,PQR Mining Corp,REG-107-2020,2020-04-30,2024-04-29,3696818.71,Transport Services,170,81.68,LIC-107,2025-03-26,INS-107,2024-12-14,1,Low,"998 Mining Colony, Korba, Chhattisgarh - 952525",+91987654337351,contact@pqrminingcorp.com
CON-108,LMN Mining Services,REG-108-2020,2021-11-18,2025-11-17,29372694.81,Maintenance Services,121,96.35,LIC-108,2026-10-10,INS-108,2026-02-25,6,High,"611 Mining Colony, Bokaro, Jharkhand - 379635",+91987658803243,contact@lmnminingservices.com
CON-109,DEF Mining Corp,REG-109-2020,2020-04-04,2022-04-04,33676544.93,Transport Services,85,87.69,LIC-109,2022-11-01,INS-109,2022-09-23,10,Critical,"60 Mining Colony, Korba, Odisha - 762694",+91987650492216,contact@defminingcorp.com
CON-110,ABC Mining Services,REG-110-2020,2020-12-23,2023-12-23,17174547.78,Excavation Services,178,74.02,LIC-110,2024-03-17,INS-110,2024-06-16,11,Critical,"942 Mining Colony, Bokaro, Chhattisgarh - 858285",+91987654041563,contact@abcminingservices.com
CON-111,XYZ Mining Corp,REG-111-2020,2020-03-28,2024-03-27,37643071.23,Transport Services,78,86.75,LIC-111,2025-02-23,INS-111,2025-02-20,12,Critical,"942 Mining Colony, Korba, Jharkhand - 754014",+91987654268769,contact@xyzminingcorp.com
CON-112,PQR Mining Services,REG-112-2020,2020-01-26,2022-01-25,20482019.96,Transport Services,43,74.18,LIC-112,2022-11-27,INS-112,2022-04-11,6,High,"519 Mining Colony, Bokaro, Odisha - 611119",+91987659369372,contact@pqrminingservices.com
CON-113,LMN Mining Corp,REG-113-2020,2021-10-15,2023-10-15,11398603.28,Maintenance Services,100,73.67,LIC-113,2023-11-25,INS-113,2024-03-08,10,Critical,"879 Mining Colony, Korba, Chhattisgarh - 666010",+91987655652072,contact@lmnminingcorp.com
CON-114,DEF Mining Services,REG-114-2020,2021-06-04,2026-06-03,14052812.79,Drilling Services,81,95.12,LIC-114,2027-01-08,INS-114,2026-08-23,5,Medium,"681 Mining Colony, Bokaro, Jharkhand - 281685",+91987651761956,contact@defminingservices.com
CON-115,ABC Mining Corp,REG-115-2020,2021-08-25,2026-08-24,38220431.03,Maintenance Services,92,76.41,LIC-115,2026-10-07,INS-115,2027-06-24,1,Low,"786 Mining Colony, Korba, Odisha - 764098",+91987657754956,contact@abcminingcorp.com
CON-116,XYZ Mining Services,REG-116-2020,2020-05-24,2024-05-23,1856505.05,Maintenance Services,240,72.66,LIC-116,2024-11-10,INS-116,2024-08-26,0,Low,"317 Mining Colony, Bokaro, Chhattisgarh - 370717",+91987651273901,contact@xyzminingservices.com
CON-117,PQR Mining Corp,REG-117-2020,2020-12-06,2024-12-05,27579249.07,Drilling Services,50,93.94,LIC-117,2025-03-24,INS-117,2025-09-08,10,Critical,"908 Mining Colony, Korba, Jharkhand - 723758",+91987659545028,contact@pqrminingcorp.com
CON-118,LMN Mining Services,REG-118-2020,2021-09-29,2026-09-28,15396917.41,Safety Services,162,95.76,LIC-118,2027-09-15,INS-118,2026-11-25,12,Critical,"935 Mining Colony, Bokaro, Odisha - 890927",+91987652019668,contact@lmnminingservices.com
CON-119,DEF Mining Corp,REG-119-2020,2021-12-31,2026-12-30,31289040.87,Safety Services,109,81.55,LIC-119,2027-05-01,INS-119,2027-11-19,3,Medium,"774 Mining Colony, Korba, Chhattisgarh - 892435",+91987656396013,contact@defminingcorp.com
CON-120,ABC Mining Services,REG-120-2020,2021-04-05,2024-04-04,3753178.71,Maintenance Services,208,82.29,LIC-120,2024-05-23,INS-120,2024-05-19,12,Critical,"169 Mining Colony, Bokaro, Jharkhand - 877191",+91987653001226,contact@abcminingservices.com
CON-121,XYZ Mining Corp,REG-121-2020,2021-08-19,2024-08-18,38019931.6,Maintenance Services,32,76.7,LIC-121,2025-07-16,INS-121,2024-12-24,5,Medium,"766 Mining Colony, Korba, Odisha - 493207",+91987653558233,contact@xyzminingcorp.com
CON-122,PQR Mining Services,REG-122-2020,2020-10-03,2021-10-03,24274700.12,Excavation Services,265,87.97,LIC-122,2022-07-27,INS-122,2022-07-11,6,High,"487 Mining Colony, Bokaro, Chhattisgarh - 724163",+91987654076165,contact@pqrminingservices.com
CON-123,LMN Mining Corp,REG-123-2020,2021-03-04,2026-03-03,38573847.2,Excavation Services,203,75.61,LIC-123,2027-01-27,INS-123,2026-12-29,4,Medium,"386 Mining Colony, Korba, Jharkhand - 832523",+91987654105432,contact@lmnminingcorp.com
CON-124,DEF Mining Services,REG-124-2020,2020-10-18,2024-10-17,22797221.82,Transport Services,73,80.41,LIC-124,2025-04-18,INS-124,2025-06-23,3,Medium,"641 Mining Colony, Bokaro, Odisha - 951173",+91987653655747,contact@defminingservices.com
CON-125,ABC Mining Corp,REG-125-2020,2020-11-05,2023-11-05,46732303.9,Excavation Services,38,72.64,LIC-125,2024-09-13,INS-125,2023-12-19,2,Low,"594 Mining Colony, Korba, Chhattisgarh - 169543",+91987655094521,contact@abcminingcorp.com
CON-126,XYZ Mining Services,REG-126-2020,2020-07-24,2025-07-23,13665869.24,Drilling Services,47,96.87,LIC-126,2026-01-01,INS-126,2026-05-05,0,Low,"70 Mining Colony, Bokaro, Jharkhand - 451879",+91987656034887,contact@xyzminingservices.com
CON-127,PQR Mining Corp,REG-127-2020,2021-09-08,2025-09-07,9130402.96,Transport Services,217,79.43,LIC-127,2026-01-02,INS-127,2026-05-28,1,Low,"620 Mining Colony, Korba, Odisha - 244932",+91987657036799,contact@pqrminingcorp.com
CON-128,LMN Mining Services,REG-128-2020,2021-10-06,2026-10-05,1904344.03,Transport Services,38,89.62,LIC-128,2027-08-23,INS-128,2027-05-21,7,High,"5 Mining Colony, Bokaro, Chhattisgarh - 637821",+91987653959607,contact@lmnminingservices.com
CON-129,DEF Mining Corp,REG-129-2020,2020-07-30,2025-07-29,26849390.9,Safety Services,24,82.86,LIC-129,2026-04-20,INS-129,2025-12-26,12,Critical,"853 Mining Colony, Korba, Jharkhand - 307880",+91987658883812,contact@defminingcorp.com
CON-130,ABC Mining Services,REG-130-2020,2020-05-11,2025-05-10,24667761.51,Safety Services,60,90.55,LIC-130,2026-01-21,INS-130,2025-08-25,3,Medium,"964 Mining Colony, Bokaro, Odisha - 454559",+91987653052996,contact@abcminingservices.com
CON-131,XYZ Mining Corp,REG-131-2020,2021-07-25,2026-07-24,6193718.59,Excavation Services,117,82.99,LIC-131,2027-06-29,INS-131,2026-11-17,8,High,"511 Mining Colony, Korba, Chhattisgarh - 202813",+91987650416754,contact@xyzminingcorp.com
CON-132,PQR Mining Services,REG-132-2020,2020-01-25,2022-01-24,11297657.51,Safety Services,261,95.68,LIC-132,2022-03-03,INS-132,2022-07-10,3,Medium,"69 Mining Colony, Bokaro, Jharkhand - 317769",+91987654895072,contact@pqrminingservices.com
CON-133,LMN Mining Corp,REG-133-2020,2020-12-29,2023-12-29,4096511.59,Drilling Services,291,85.39,LIC-133,2024-10-12,INS-133,2024-05-31,2,Low,"517 Mining Colony, Korba, Odisha - 739865",+91987657419309,contact@lmnminingcorp.com
CON-134,DEF Mining Services,REG-134-2020,2021-11-26,2022-11-26,2986326.63,Maintenance Services,184,77.96,LIC-134,2023-11-05,INS-134,2023-10-01,12,Critical,"80 Mining Colony, Bokaro, Chhattisgarh - 221295",+91987651268149,contact@defminingservices.com
CON-135,ABC Mining Corp,REG-135-2020,2021-07-01,2022-07-01,31156669.54,Excavation Services,229,83.09,LIC-135,2022-08-04,INS-135,2023-05-06,9,Critical,"564 Mining Colony, Korba, Jharkhand - 786556",+91987651816984,contact@abcminingcorp.com
CON-136,XYZ Mining Services,REG-136-2020,2020-04-30,2022-04-30,25917964.12,Transport Services,267,72.96,LIC-136,2022-09-28,INS-136,2023-03-08,10,Critical,"304 Mining Colony, Bokaro, Odisha - 133851",+91987651800579,contact@xyzminingservices.com
CON-137,PQR Mining Corp,REG-137-2020,2020-04-02,2023-04-02,40970526.63,Transport Services,34,97.23,LIC-137,2023-08-13,INS-137,2023-08-10,5,Medium,"628 Mining Colony, Korba, Chhattisgarh - 545402",+91987659789551,contact@pqrminingcorp.com
CON-138,LMN Mining Services,REG-138-2020,2020-02-26,2021-02-25,44099593.3,Maintenance Services,40,79.85,LIC-138,2021-07-09,INS-138,2021-04-04,9,Critical,"439 Mining Colony, Bokaro, Jharkhand - 240890",+91987658248490,contact@lmnminingservices.com
CON-139,DEF Mining Corp,REG-139-2020,2021-04-02,2022-04-02,28083787.75,Safety Services,284,82.31,LIC-139,2022-08-11,INS-139,2022-06-01,1,Low,"456 Mining Colony, Korba, Odisha - 618515",+91987657083793,contact@defminingcorp.com
CON-140,ABC Mining Services,REG-140-2020,2020-06-29,2024-06-28,3613228.48,Transport Services,94,96.71,LIC-140,2025-03-30,INS-140,2025-01-01,5,Medium,"252 Mining Colony, Bokaro, Chhattisgarh - 592694",+91987656231097,contact@abcminingservices.com
CON-141,XYZ Mining Corp,REG-141-2020,2021-10-23,2025-10-22,31283406.25,Maintenance Services,104,81.88,LIC-141,2025-12-20,INS-141,2026-06-15,9,Critical,"148 Mining Colony, Korba, Jharkhand - 687886",+91987650317892,contact@xyzminingcorp.com
CON-142,PQR Mining Services,REG-142-2020,2020-11-10,2021-11-10,23034421.01,Transport Services,294,90.18,LIC-142,2022-03-31,INS-142,2021-12-31,3,Medium,"230 Mining Colony, Bokaro, Odisha - 458120",+91987650857234,contact@pqrminingservices.com
CON-143,LMN Mining Corp,REG-143-2020,2020-01-28,2022-01-27,22754847.14,Maintenance Services,40,71.01,LIC-143,2022-11-18,INS-143,2022-08-05,5,Medium,"62 Mining Colony, Korba, Chhattisgarh - 318733",+91987659319532,contact@lmnminingcorp.com
CON-144,DEF Mining Services,REG-144-2020,2020-10-13,2024-10-12,39107298.81,Excavation Services,23,99.28,LIC-144,2025-08-02,INS-144,2025-10-09,9,Critical,"970 Mining Colony, Bokaro, Jharkhand - 617626",+91987653245325,contact@defminingservices.com
CON-145,ABC Mining Corp,REG-145-2020,2020-03-17,2024-03-16,13132785.51,Maintenance Services,96,77.47,LIC-145,2024-05-25,INS-145,2024-05-14,10,Critical,"124 Mining Colony, Korba, Odisha - 846726",+91987650509184,contact@abcminingcorp.com
CON-146,XYZ Mining Services,REG-146-2020,2021-09-30,2024-09-29,46342052.43,Safety Services,257,80.65,LIC-146,2024-12-21,INS-146,2025-03-05,0,Low,"112 Mining Colony, Bokaro, Chhattisgarh - 273678",+91987650168611,contact@xyzminingservices.com
CON-147,PQR Mining Corp,REG-147-2020,2021-05-26,2023-05-26,2103412.68,Safety Services,59,81.27,LIC-147,2023-11-19,INS-147,2024-03-07,1,Low,"85 Mining Colony, Korba, Jharkhand - 122025",+91987655688673,contact@pqrminingcorp.com
CON-148,LMN Mining Services,REG-148-2020,2020-01-21,2022-01-20,38813781.09,Drilling Services,189,89.41,LIC-148,2022-10-10,INS-148,2022-05-18,6,High,"86 Mining Colony, Bokaro, Odisha - 997997",+91987655339108,contact@lmnminingservices.com
CON-149,DEF Mining Corp,REG-149-2020,2021-06-28,2024-06-27,39185588.22,Maintenance Services,77,91.01,LIC-149,2025-04-07,INS-149,2024-11-01,5,Medium,"575 Mining Colony, Korba, Chhattisgarh - 475521",+91987659137974,contact@defminingcorp.com
CON-150,ABC Mining Services,REG-150-2020,2021-11-03,2023-11-03,15214524.81,Transport Services,289,96.11,LIC-150,2024-02-14,INS-150,2024-08-27,0,Low,"879 Mining Colony, Bokaro, Jharkhand - 928146",+91987658548574,contact@abcminingservices.com
