attendance_id,worker_id,mine_id,shift_date,shift_type,attendance_status,check_in_time,check_out_time,training_status,training_expiry,medical_fitness,medical_expiry,ppe_status,ppe_issues
ATT-02437,WRK-9956,JH-002,2023-01-12,Afternoon,Present,14:05:00,22:36:00,Pending,2023-01-05,Fit,2023-08-01,Partial,Helmet missing
ATT-02438,WRK-3723,JH-001,2023-02-11,Morning,Present,06:00:00,16:17:00,Certified,2023-08-22,Fit,2023-08-01,Compliant,
ATT-02439,WRK-1822,CG-002,2023-03-27,Morning,Present,07:57:00,16:29:00,Pending,2023-03-15,Fit,2024-01-07,Compliant,
ATT-02440,WRK-7362,CG-001,2023-02-05,Morning,Present,07:06:00,15:40:00,Certified,2023-08-22,Fit,2023-07-21,Compliant,
ATT-02441,WRK-5670,CG-002,2023-01-09,Afternoon,Present,14:35:00,22:21:00,Certified,2023-05-01,Fit,2023-09-01,Compliant,
ATT-02442,WRK-5716,JH-001,2023-02-21,Afternoon,Late,,,Certified,2024-01-26,Fit,2023-10-05,Compliant,
ATT-02443,WRK-4526,OD-001,2023-03-25,Night,Present,23:54:00,06:23:00,Pending,2023-03-22,Fit,2023-10-12,Non-Compliant,Helmet missing
ATT-02444,WRK-1235,OD-002,2023-02-06,Night,On Leave,,,Certified,2023-09-15,Fit,2023-06-13,Non-Compliant,Boots missing
ATT-02445,WRK-0561,JH-002,2023-03-11,Night,Present,22:46:00,08:20:00,Certified,2023-09-18,Fit,2023-12-18,Compliant,
ATT-02446,WRK-4304,OD-002,2023-02-10,Morning,Present,06:18:00,14:06:00,Certified,2024-02-09,Fit,2023-12-19,Compliant,
ATT-02447,WRK-1411,CG-001,2023-02-20,Morning,Present,06:16:00,14:10:00,Certified,2024-01-18,Fit,2023-10-23,Partial,Helmet missing
ATT-02448,WRK-2689,JH-002,2023-01-15,Morning,Present,08:06:00,14:07:00,Certified,2023-06-12,Fit,2023-05-01,Compliant,
ATT-02449,WRK-9641,JH-001,2023-03-14,Afternoon,Present,15:45:00,23:16:00,Pending,2023-02-18,Fit,2023-11-15,Compliant,
ATT-02450,WRK-7739,OD-002,2023-03-18,Afternoon,Present,15:55:00,23:41:00,Certified,2023-09-16,Fit,2023-07-02,Compliant,
ATT-02451,WRK-7368,OD-002,2023-03-06,Afternoon,Present,15:34:00,22:48:00,Certified,2023-07-12,Fit,2024-02-17,Compliant,
ATT-02452,WRK-6605,CG-002,2023-01-20,Morning,Present,08:26:00,16:13:00,Pending,2023-01-04,Fit,2023-09-30,Partial,None
ATT-02453,WRK-2406,CG-001,2023-01-04,Night,Present,23:11:00,06:42:00,Certified,2023-09-12,Fit,2023-11-21,Compliant,
ATT-02454,WRK-6551,OD-001,2023-03-10,Afternoon,Present,14:15:00,23:02:00,Certified,2023-08-27,Fit,2023-07-27,Compliant,
ATT-02455,WRK-0291,JH-002,2023-01-11,Morning,Present,07:55:00,16:52:00,Pending,2023-01-09,Fit,2023-11-28,Compliant,
ATT-02456,WRK-8477,JH-002,2023-03-28,Night,Present,22:09:00,07:19:00,Certified,2023-06-28,Fit,2023-11-26,Compliant,
ATT-02457,WRK-7996,JH-002,2023-01-08,Afternoon,Present,15:45:00,23:51:00,Pending,2023-01-07,Fit,2023-07-08,Compliant,
ATT-02458,WRK-7093,OD-001,2023-01-06,Night,Present,23:54:00,07:34:00,Pending,2023-01-01,Fit,2023-05-07,Compliant,
ATT-02459,WRK-8097,CG-002,2023-03-17,Afternoon,Absent,,,Expired,2023-02-18,Unfit,2023-02-16,Non-Compliant,Boots missing
ATT-02460,WRK-5973,JH-002,2023-03-14,Morning,Present,07:32:00,16:05:00,Certified,2023-10-01,Unfit,2023-03-05,Compliant,
ATT-02461,WRK-6027,CG-001,2023-02-27,Morning,Present,06:09:00,15:16:00,Certified,2024-01-09,Fit,2024-02-22,Partial,Boots missing
ATT-02462,WRK-3127,CG-002,2023-01-19,Night,Present,22:54:00,08:53:00,Certified,2023-09-21,Fit,2023-08-20,Non-Compliant,None
ATT-02463,WRK-2556,OD-001,2023-03-15,Afternoon,Present,14:07:00,22:14:00,Certified,2023-12-17,Pending,2023-03-09,Compliant,
ATT-02464,WRK-5741,JH-003,2023-03-21,Morning,Present,08:37:00,15:26:00,Certified,2024-01-20,Fit,2023-10-11,Non-Compliant,Boots missing
ATT-02465,WRK-1816,JH-002,2023-01-14,Morning,Present,06:15:00,15:35:00,Certified,2023-11-20,Fit,2023-05-29,Compliant,
ATT-02466,WRK-7480,JH-001,2023-03-04,Morning,Present,08:23:00,15:22:00,Pending,2023-03-02,Unfit,2023-02-09,Compliant,
ATT-02467,WRK-7600,JH-003,2023-01-25,Afternoon,Present,15:39:00,22:35:00,Certified,2023-11-13,Fit,2023-09-01,Partial,Boots missing
ATT-02468,WRK-2459,CG-002,2023-02-27,Night,Present,22:24:00,07:53:00,Expired,2023-02-08,Fit,2023-07-22,Compliant,
ATT-02469,WRK-6497,CG-002,2023-02-23,Morning,Late,,,Certified,2023-09-21,Pending,2023-02-20,Compliant,
ATT-02470,WRK-4496,JH-001,2023-01-04,Night,On Leave,,,Certified,2023-07-14,Fit,2023-06-09,Compliant,
ATT-02471,WRK-8264,OD-001,2023-01-23,Morning,Present,07:34:00,16:52:00,Certified,2023-05-05,Fit,2023-05-12,Compliant,
ATT-02472,WRK-6362,CG-002,2023-03-25,Morning,Present,07:02:00,14:23:00,Certified,2023-11-23,Fit,2023-10-01,Compliant,
ATT-02473,WRK-5894,JH-001,2023-03-21,Morning,Present,06:05:00,15:54:00,Certified,2024-01-21,Fit,2023-12-07,Compliant,
ATT-02474,WRK-1949,JH-002,2023-01-22,Morning,Absent,,,Certified,2023-10-20,Fit,2023-07-31,Compliant,
ATT-02475,WRK-7747,OD-002,2023-01-06,Night,Present,22:48:00,07:06:00,Certified,2023-09-21,Fit,2024-01-02,Non-Compliant,Helmet missing
ATT-02476,WRK-3419,JH-002,2023-03-02,Morning,Present,08:01:00,16:23:00,Certified,2023-06-01,Unfit,2023-02-08,Compliant,
ATT-02477,WRK-1697,CG-002,2023-03-29,Morning,Present,07:38:00,15:20:00,Certified,2023-12-11,Fit,2023-07-26,Non-Compliant,Helmet missing
ATT-02478,WRK-7673,JH-002,2023-01-16,Night,Present,23:00:00,08:53:00,Certified,2023-10-16,Fit,2023-09-08,Partial,Helmet missing
ATT-02479,WRK-6392,CG-002,2023-02-06,Morning,Present,08:47:00,14:56:00,Certified,2023-12-22,Fit,2023-10-25,Compliant,
ATT-02480,WRK-5915,JH-003,2023-01-08,Night,Late,,,Certified,2023-11-25,Fit,2023-10-24,Partial,None
ATT-02481,WRK-7849,JH-001,2023-03-15,Night,Present,23:04:00,06:17:00,Expired,2023-03-07,Fit,2023-10-01,Compliant,
ATT-02482,WRK-8879,OD-002,2023-01-26,Night,Present,23:42:00,06:49:00,Certified,2023-09-03,Fit,2023-11-04,Compliant,
ATT-02483,WRK-6098,CG-001,2023-02-18,Morning,Present,06:10:00,15:31:00,Certified,2023-11-01,Fit,2023-07-06,Partial,Helmet missing
ATT-02484,WRK-8706,CG-002,2023-03-14,Afternoon,Present,16:17:00,23:56:00,Pending,2023-03-01,Fit,2023-09-09,Compliant,
ATT-02485,WRK-0117,JH-003,2023-01-04,Night,Present,23:03:00,08:12:00,Certified,2023-06-01,Fit,2023-04-25,Partial,Boots missing
ATT-02486,WRK-6927,JH-003,2023-01-05,Morning,Absent,,,Certified,2023-04-29,Fit,2023-11-26,Compliant,
ATT-02487,WRK-7488,JH-002,2023-01-12,Morning,Present,06:30:00,15:17:00,Certified,2023-05-22,Fit,2023-06-26,Compliant,
ATT-02488,WRK-4022,OD-002,2023-01-03,Night,Present,22:13:00,08:07:00,Certified,2023-08-24,Fit,2023-11-29,Compliant,
ATT-02489,WRK-6609,CG-001,2023-03-20,Night,Present,23:05:00,07:00:00,Certified,2023-12-04,Fit,2024-01-16,Compliant,
ATT-02490,WRK-5523,JH-003,2023-02-20,Morning,Present,08:21:00,16:51:00,Certified,2023-07-08,Pending,2023-02-14,Compliant,
ATT-02491,WRK-2558,OD-001,2023-02-16,Afternoon,Present,14:52:00,22:39:00,Pending,2023-01-21,Fit,2024-01-06,Compliant,
ATT-02492,WRK-0776,JH-001,2023-01-27,Morning,Present,08:03:00,15:30:00,Certified,2023-11-16,Fit,2023-07-31,Compliant,
ATT-02493,WRK-5751,OD-002,2023-01-10,Morning,Present,07:28:00,16:30:00,Expired,2022-12-25,Fit,2023-09-12,Compliant,
ATT-02494,WRK-9836,CG-002,2023-03-04,Morning,Present,06:20:00,15:17:00,Certified,2023-12-18,Fit,2023-10-13,Compliant,
ATT-02495,WRK-3304,OD-001,2023-01-11,Morning,Present,06:34:00,14:01:00,Certified,2023-09-29,Fit,2023-06-07,Compliant,
ATT-02496,WRK-3871,JH-003,2023-01-10,Night,Present,23:07:00,06:12:00,Pending,2023-01-04,Unfit,2022-12-15,Compliant,
ATT-02497,WRK-6904,JH-003,2023-01-21,Night,Present,22:26:00,07:04:00,Pending,2023-01-07,Fit,2023-10-13,Compliant,
ATT-02498,WRK-4268,JH-001,2023-02-16,Morning,Present,06:14:00,16:41:00,Pending,2023-01-28,Fit,2023-10-13,Compliant,
ATT-02499,WRK-7236,JH-003,2023-03-06,Morning,Present,06:47:00,14:53:00,Certified,2023-10-29,Pending,2023-03-01,Non-Compliant,Helmet missing
ATT-02500,WRK-8158,CG-001,2023-01-11,Morning,Present,07:09:00,14:58:00,Certified,2023-10-05,Fit,2023-04-27,Compliant,
ATT-02501,WRK-1273,JH-003,2023-03-18,Afternoon,Present,14:40:00,22:48:00,Certified,2023-11-10,Fit,2023-07-05,Partial,None
ATT-02502,WRK-5130,JH-003,2023-03-09,Night,Present,22:47:00,07:04:00,Certified,2023-11-29,Fit,2023-10-31,Partial,Boots missing
ATT-02503,WRK-6693,JH-001,2023-02-18,Afternoon,Present,15:13:00,23:47:00,Certified,2023-10-17,Fit,2023-09-22,Partial,None
ATT-02504,WRK-9824,JH-002,2023-02-15,Morning,Present,08:00:00,14:19:00,Certified,2023-12-11,Fit,2023-06-25,Compliant,
ATT-02505,WRK-5542,CG-002,2023-03-25,Afternoon,Present,16:25:00,22:10:00,Pending,2023-03-11,Fit,2023-08-11,Compliant,
ATT-02506,WRK-4485,CG-002,2023-01-10,Afternoon,Present,15:38:00,22:58:00,Certified,2023-09-20,Unfit,2023-01-03,Partial,None
ATT-02507,WRK-3664,CG-002,2023-01-09,Night,Present,22:02:00,07:48:00,Certified,2023-10-22,Fit,2023-07-01,Compliant,
ATT-02508,WRK-2993,OD-001,2023-01-22,Night,Present,23:15:00,07:20:00,Expired,2023-01-09,Fit,2023-09-07,Compliant,
ATT-02509,WRK-6606,JH-002,2023-02-15,Morning,Present,06:33:00,16:57:00,Certified,2023-10-12,Fit,2023-06-24,Compliant,
ATT-02510,WRK-2617,CG-001,2023-02-06,Morning,Present,07:48:00,14:38:00,Certified,2023-08-15,Fit,2023-07-08,Compliant,
ATT-02511,WRK-4432,OD-001,2023-02-22,Night,Present,22:47:00,08:32:00,Pending,2023-02-06,Fit,2023-06-03,Compliant,
ATT-02512,WRK-2001,JH-003,2023-03-15,Night,Absent,,,Certified,2024-02-04,Fit,2023-12-28,Partial,Boots missing
ATT-02513,WRK-0473,JH-002,2023-01-31,Morning,Present,08:14:00,16:11:00,Certified,2023-08-25,Fit,2023-07-29,Partial,Boots missing
ATT-02514,WRK-9039,CG-001,2023-02-15,Morning,Present,06:55:00,16:42:00,Certified,2024-01-07,Fit,2023-11-05,Compliant,
ATT-02515,WRK-5227,OD-002,2023-01-03,Night,Present,23:52:00,06:23:00,Pending,2022-12-16,Fit,2023-06-13,Non-Compliant,None
ATT-02516,WRK-4826,CG-001,2023-01-14,Afternoon,Present,14:37:00,22:14:00,Pending,2022-12-16,Fit,2023-05-03,Partial,Helmet missing
ATT-02517,WRK-5774,OD-001,2023-01-24,Morning,Present,07:58:00,14:12:00,Certified,2023-10-27,Unfit,2023-01-01,Partial,None
ATT-02518,WRK-0327,JH-003,2023-02-10,Morning,Present,08:59:00,15:47:00,Pending,2023-02-06,Unfit,2023-01-15,Compliant,
ATT-02519,WRK-9505,CG-002,2023-03-05,Afternoon,On Leave,,,Certified,2023-06-09,Pending,2023-03-02,Compliant,
ATT-02520,WRK-8235,JH-003,2023-01-20,Night,Present,23:24:00,08:20:00,Certified,2023-04-22,Pending,2023-01-15,Non-Compliant,None
ATT-02521,WRK-6220,CG-002,2023-01-10,Afternoon,Present,16:30:00,22:36:00,Expired,2023-01-04,Fit,2023-10-15,Compliant,
ATT-02522,WRK-5149,OD-002,2023-02-24,Morning,Present,07:26:00,14:50:00,Certified,2023-10-30,Pending,2023-01-31,Compliant,
ATT-02523,WRK-3813,JH-001,2023-02-12,Afternoon,Present,14:52:00,23:46:00,Expired,2023-01-29,Fit,2023-12-01,Compliant,
ATT-02524,WRK-9977,JH-001,2023-01-06,Morning,Present,08:07:00,14:28:00,Certified,2023-08-30,Fit,2023-11-20,Compliant,
ATT-02525,WRK-5963,CG-001,2023-03-20,Afternoon,Late,,,Expired,2023-03-10,Unfit,2023-02-18,Compliant,
ATT-02526,WRK-8855,CG-002,2023-01-12,Night,Present,23:49:00,08:36:00,Certified,2023-06-30,Fit,2023-04-16,Partial,Boots missing
ATT-02527,WRK-2738,JH-001,2023-03-03,Night,Present,23:40:00,08:13:00,Expired,2023-02-26,Fit,2024-01-25,Compliant,
ATT-02528,WRK-7909,CG-002,2023-02-27,Night,Present,22:04:00,08:08:00,Certified,2023-06-14,Unfit,2023-02-14,Partial,None
ATT-02529,WRK-0353,CG-001,2023-03-29,Morning,Present,08:35:00,15:13:00,Certified,2024-02-07,Fit,2023-10-01,Compliant,
ATT-02530,WRK-8854,CG-001,2023-01-06,Afternoon,Present,16:08:00,23:48:00,Certified,2023-11-06,Fit,2023-09-09,Non-Compliant,None
ATT-02531,WRK-2395,JH-002,2023-03-14,Morning,Present,06:12:00,15:25:00,Certified,2023-07-11,Fit,2023-12-12,Compliant,
ATT-02532,WRK-5913,OD-002,2023-03-04,Night,Present,22:32:00,08:02:00,Pending,2023-02-08,Fit,2023-09-27,Compliant,
ATT-02533,WRK-9382,JH-001,2023-01-15,Night,Present,22:14:00,06:19:00,Pending,2022-12-18,Fit,2023-06-28,Compliant,
ATT-02534,WRK-9056,OD-002,2023-01-27,Morning,Present,08:11:00,16:46:00,Certified,2024-01-21,Fit,2023-07-08,Compliant,
ATT-02535,WRK-4287,JH-001,2023-03-08,Morning,Absent,,,Certified,2023-10-31,Fit,2024-01-15,Compliant,
ATT-02536,WRK-6925,OD-002,2023-01-29,Night,On Leave,,,Certified,2023-07-11,Fit,2024-01-05,Compliant,
ATT-02537,WRK-3155,CG-002,2023-02-03,Night,Present,23:49:00,08:45:00,Pending,2023-01-25,Fit,2023-08-21,Compliant,
ATT-02538,WRK-2724,JH-002,2023-01-28,Night,Present,23:55:00,07:03:00,Pending,2023-01-21,Fit,2023-05-08,Compliant,
ATT-02539,WRK-2769,OD-001,2023-01-08,Afternoon,Present,15:10:00,23:05:00,Pending,2022-12-22,Fit,2023-11-26,Compliant,
ATT-02540,WRK-1234,JH-003,2023-02-23,Night,Absent,,,Pending,2023-02-07,Fit,2023-06-20,Compliant,
ATT-02541,WRK-6876,JH-002,2023-01-23,Morning,Present,07:18:00,15:09:00,Pending,2023-01-01,Fit,2023-06-13,Non-Compliant,Boots missing
ATT-02542,WRK-9683,CG-002,2023-01-07,Night,Present,22:51:00,08:08:00,Certified,2023-07-02,Pending,2022-12-14,Non-Compliant,Helmet missing
ATT-02543,WRK-7203,JH-002,2023-02-08,Afternoon,Present,14:08:00,22:23:00,Pending,2023-01-18,Fit,2023-12-24,Compliant,
ATT-02544,WRK-6313,JH-001,2023-01-07,Afternoon,On Leave,,,Certified,2023-04-16,Fit,2023-10-28,Compliant,
ATT-02545,WRK-0921,JH-002,2023-01-25,Night,Present,23:42:00,06:37:00,Certified,2023-04-27,Fit,2023-10-12,Compliant,
ATT-02546,WRK-7136,CG-001,2023-03-26,Afternoon,Present,14:27:00,22:57:00,Certified,2023-09-21,Fit,2024-03-09,Compliant,
ATT-02547,WRK-7208,JH-002,2023-02-03,Morning,Present,06:13:00,15:31:00,Pending,2023-01-26,Fit,2023-11-03,Compliant,
ATT-02548,WRK-0174,CG-001,2023-03-02,Night,Present,23:22:00,08:23:00,Certified,2023-05-31,Fit,2023-10-01,Partial,Helmet missing
ATT-02549,WRK-5956,CG-001,2023-02-24,Morning,Present,08:15:00,15:15:00,Certified,2023-06-27,Fit,2023-12-18,Partial,Helmet missing
ATT-02550,WRK-6356,CG-001,2023-03-18,Morning,Present,06:24:00,14:54:00,Expired,2023-03-16,Fit,2024-02-27,Compliant,
ATT-02551,WRK-5308,CG-001,2023-02-09,Afternoon,Present,16:49:00,23:47:00,Expired,2023-01-18,Fit,2023-07-22,Partial,None
ATT-02552,WRK-3168,OD-001,2023-03-22,Afternoon,Absent,,,Expired,2023-03-09,Fit,2023-08-13,Compliant,
ATT-02553,WRK-8122,JH-001,2023-01-19,Afternoon,Present,15:52:00,23:51:00,Expired,2023-01-05,Fit,2023-09-20,Partial,Boots missing
ATT-02554,WRK-4304,CG-002,2023-01-06,Night,Present,22:00:00,06:49:00,Certified,2023-06-29,Fit,2023-12-12,Partial,None
ATT-02555,WRK-9511,CG-001,2023-03-23,Morning,Present,08:02:00,15:05:00,Certified,2023-11-19,Fit,2024-02-09,Partial,Helmet missing
ATT-02556,WRK-7504,CG-002,2023-03-01,Morning,Present,07:34:00,15:23:00,Certified,2023-08-28,Fit,2023-10-06,Partial,Helmet missing
ATT-02557,WRK-2341,OD-001,2023-01-04,Night,Present,22:00:00,07:33:00,Expired,2023-01-01,Pending,2022-12-28,Compliant,
ATT-02558,WRK-7774,JH-001,2023-03-11,Afternoon,Absent,,,Certified,2023-10-11,Pending,2023-02-20,Compliant,
ATT-02559,WRK-8340,OD-002,2023-03-02,Afternoon,Present,15:49:00,23:17:00,Pending,2023-02-24,Fit,2024-01-16,Compliant,
ATT-02560,WRK-3977,JH-002,2023-03-21,Morning,Present,08:34:00,16:16:00,Certified,2023-12-20,Fit,2024-03-08,Non-Compliant,Boots missing
ATT-02561,WRK-2768,JH-003,2023-01-12,Morning,Present,07:35:00,16:34:00,Expired,2023-01-06,Unfit,2022-12-16,Compliant,
ATT-02562,WRK-7752,JH-002,2023-02-03,Night,Present,23:56:00,08:57:00,Certified,2023-11-20,Fit,2024-01-08,Partial,None
ATT-02563,WRK-4779,CG-001,2023-01-04,Night,Present,22:04:00,08:46:00,Certified,2023-10-29,Fit,2023-05-30,Partial,None
ATT-02564,WRK-3463,JH-003,2023-02-08,Morning,Present,06:10:00,15:04:00,Certified,2023-05-23,Fit,2023-05-24,Compliant,
ATT-02565,WRK-4622,JH-002,2023-02-02,Morning,Present,07:03:00,14:16:00,Pending,2023-01-28,Fit,2024-01-17,Compliant,
ATT-02566,WRK-9382,CG-002,2023-03-03,Morning,Present,06:38:00,14:49:00,Certified,2023-09-01,Fit,2023-08-20,Compliant,
ATT-02567,WRK-0827,OD-001,2023-01-31,Afternoon,Present,14:27:00,22:36:00,Certified,2023-08-06,Fit,2023-09-29,Compliant,
ATT-02568,WRK-1595,CG-001,2023-01-11,Morning,Late,,,Certified,2023-11-13,Fit,2023-12-05,Compliant,
ATT-02569,WRK-0709,CG-001,2023-02-13,Morning,Late,,,Certified,2023-09-08,Fit,2023-06-15,Partial,Boots missing
ATT-02570,WRK-4700,CG-002,2023-01-12,Night,Present,23:26:00,08:48:00,Expired,2022-12-17,Fit,2023-04-30,Compliant,
ATT-02571,WRK-0738,CG-002,2023-03-09,Morning,Present,08:26:00,16:38:00,Certified,2023-07-05,Unfit,2023-02-23,Compliant,
ATT-02572,WRK-7533,JH-001,2023-01-28,Night,Present,22:27:00,06:09:00,Certified,2023-10-18,Fit,2023-12-05,Non-Compliant,Boots missing
ATT-02573,WRK-2554,OD-002,2023-01-27,Night,On Leave,,,Expired,2023-01-06,Fit,2023-09-10,Partial,None
ATT-02574,WRK-8712,JH-001,2023-01-17,Night,Absent,,,Pending,2023-01-15,Fit,2023-10-02,Partial,Helmet missing
ATT-02575,WRK-6093,JH-003,2023-02-10,Afternoon,Present,15:29:00,22:47:00,Certified,2024-01-03,Unfit,2023-01-24,Non-Compliant,Helmet missing
ATT-02576,WRK-7441,CG-002,2023-01-22,Afternoon,Present,16:33:00,23:23:00,Certified,2023-07-09,Pending,2023-01-11,Compliant,
ATT-02577,WRK-3985,JH-003,2023-01-18,Morning,Present,07:30:00,15:18:00,Pending,2022-12-27,Fit,2023-05-25,Compliant,
ATT-02578,WRK-5131,OD-001,2023-02-26,Morning,Present,08:41:00,15:35:00,Certified,2023-09-18,Fit,2023-11-30,Compliant,
ATT-02579,WRK-8245,JH-001,2023-03-08,Afternoon,Present,14:23:00,23:12:00,Certified,2023-12-03,Pending,2023-02-20,Compliant,
ATT-02580,WRK-0083,OD-001,2023-02-17,Afternoon,Present,16:10:00,22:24:00,Expired,2023-01-21,Fit,2023-05-31,Compliant,
ATT-02581,WRK-2348,JH-002,2023-03-24,Morning,Present,06:21:00,15:42:00,Certified,2023-09-12,Fit,2023-08-28,Compliant,
ATT-02582,WRK-2187,OD-002,2023-02-11,Morning,Present,06:49:00,16:10:00,Certified,2023-05-24,Fit,2023-12-07,Compliant,
ATT-02583,WRK-4497,JH-003,2023-02-17,Afternoon,Present,16:10:00,23:58:00,Certified,2024-02-01,Fit,2023-12-10,Compliant,
ATT-02584,WRK-2792,OD-001,2023-01-17,Afternoon,Present,16:18:00,23:00:00,Certified,2023-12-15,Fit,2023-10-20,Compliant,
ATT-02585,WRK-2659,CG-001,2023-01-16,Night,Present,23:27:00,07:16:00,Certified,2023-06-16,Fit,2023-04-27,Compliant,
ATT-02586,WRK-5569,OD-002,2023-01-26,Night,Present,22:17:00,07:10:00,Certified,2024-01-11,Pending,2023-01-16,Partial,Helmet missing
ATT-02587,WRK-7852,OD-002,2023-02-14,Afternoon,Present,14:40:00,22:35:00,Certified,2023-12-20,Pending,2023-01-23,Partial,Boots missing
ATT-02588,WRK-6523,OD-001,2023-03-24,Night,Present,23:07:00,07:46:00,Pending,2023-03-19,Fit,2024-02-17,Compliant,
ATT-02589,WRK-5856,OD-002,2023-04-01,Morning,Present,06:34:00,16:52:00,Pending,2023-03-24,Fit,2023-12-13,Compliant,
ATT-02590,WRK-5255,JH-003,2023-02-23,Morning,Present,06:29:00,15:16:00,Expired,2023-02-02,Fit,2023-09-14,Non-Compliant,Boots missing
ATT-02591,WRK-9282,CG-002,2023-01-10,Night,Present,23:38:00,08:31:00,Certified,2023-04-23,Fit,2023-09-29,Partial,None
ATT-02592,WRK-4519,OD-002,2023-01-23,Morning,Present,08:18:00,16:37:00,Expired,2023-01-07,Fit,2023-10-21,Compliant,
ATT-02593,WRK-9518,CG-002,2023-01-25,Afternoon,Present,15:36:00,23:48:00,Certified,2023-10-17,Fit,2023-07-25,Compliant,
ATT-02594,WRK-4933,OD-001,2023-01-26,Night,On Leave,,,Pending,2022-12-30,Unfit,2023-01-08,Compliant,
ATT-02595,WRK-8941,CG-001,2023-01-16,Morning,Present,07:40:00,16:55:00,Certified,2023-08-12,Fit,2023-06-07,Compliant,
ATT-02596,WRK-0941,OD-002,2023-02-01,Morning,On Leave,,,Certified,2023-07-15,Fit,2023-10-17,Compliant,
ATT-02597,WRK-6732,CG-001,2023-02-19,Night,Absent,,,Certified,2024-01-14,Pending,2023-02-09,Compliant,
ATT-02598,WRK-4138,JH-002,2023-03-20,Night,Present,22:53:00,07:07:00,Pending,2023-03-18,Fit,2024-01-11,Compliant,
ATT-02599,WRK-8776,JH-002,2023-03-21,Night,Present,23:30:00,07:20:00,Certified,2023-08-11,Fit,2023-06-26,Compliant,
ATT-02600,WRK-5597,CG-001,2023-01-06,Night,Present,22:10:00,06:18:00,Certified,2023-11-30,Fit,2023-12-13,Partial,None
ATT-02601,WRK-6025,JH-003,2023-02-25,Afternoon,Present,16:03:00,23:51:00,Certified,2023-07-08,Fit,2023-12-25,Compliant,
ATT-02602,WRK-0674,CG-002,2023-03-10,Night,Present,23:01:00,08:18:00,Expired,2023-02-26,Fit,2023-12-11,Compliant,
ATT-02603,WRK-9535,CG-001,2023-02-09,Night,Present,22:58:00,06:12:00,Certified,2023-10-30,Unfit,2023-02-07,Compliant,
ATT-02604,WRK-5513,JH-003,2023-03-31,Night,Present,22:09:00,07:07:00,Certified,2023-09-04,Fit,2024-01-31,Compliant,
ATT-02605,WRK-6195,JH-002,2023-02-07,Night,Present,22:41:00,07:59:00,Certified,2023-05-28,Fit,2023-11-09,Compliant,
ATT-02606,WRK-9301,JH-001,2023-01-19,Afternoon,On Leave,,,Pending,2022-12-22,Pending,2023-01-12,Partial,None
ATT-02607,WRK-1326,OD-001,2023-03-01,Morning,Absent,,,Certified,2024-01-29,Fit,2023-08-31,Partial,None
ATT-02608,WRK-8119,CG-001,2023-03-13,Morning,Present,07:58:00,16:13:00,Certified,2023-08-08,Fit,2023-12-26,Non-Compliant,None
ATT-02609,WRK-1993,OD-001,2023-01-29,Morning,Present,07:44:00,14:36:00,Certified,2023-08-29,Fit,2023-12-23,Compliant,
ATT-02610,WRK-3074,JH-002,2023-02-25,Night,Present,23:51:00,06:28:00,Certified,2023-06-24,Fit,2023-09-02,Compliant,
ATT-02611,WRK-1946,OD-001,2023-03-14,Morning,Present,06:54:00,16:57:00,Certified,2024-02-05,Unfit,2023-03-06,Partial,Boots missing
ATT-02612,WRK-5750,JH-002,2023-03-09,Night,Present,22:49:00,06:37:00,Certified,2024-01-31,Pending,2023-02-10,Compliant,
ATT-02613,WRK-9987,CG-001,2023-01-01,Afternoon,Present,16:35:00,23:03:00,Certified,2023-05-06,Unfit,2022-12-12,Non-Compliant,None
ATT-02614,WRK-5853,CG-001,2023-03-09,Night,Present,23:22:00,06:16:00,Pending,2023-02-28,Fit,2024-02-11,Compliant,
ATT-02615,WRK-2455,JH-001,2023-01-02,Night,Present,22:37:00,06:57:00,Expired,2022-12-26,Fit,2023-04-11,Compliant,
ATT-02616,WRK-8711,OD-002,2023-02-22,Afternoon,Present,16:06:00,22:26:00,Certified,2023-07-21,Fit,2023-12-07,Compliant,
ATT-02617,WRK-7172,CG-002,2023-02-13,Morning,Present,08:20:00,14:08:00,Pending,2023-01-14,Fit,2024-01-16,Compliant,
ATT-02618,WRK-9011,OD-001,2023-02-14,Night,Present,22:46:00,06:45:00,Certified,2023-12-12,Fit,2023-11-17,Partial,None
ATT-02619,WRK-4929,OD-002,2023-01-16,Night,Present,23:44:00,07:40:00,Certified,2023-06-17,Fit,2023-06-15,Compliant,
ATT-02620,WRK-5196,OD-002,2023-03-05,Afternoon,Late,,,Certified,2023-10-10,Fit,2024-01-23,Non-Compliant,Boots missing
ATT-02621,WRK-5886,CG-002,2023-01-06,Afternoon,Present,14:30:00,22:33:00,Certified,2023-12-16,Fit,2023-06-11,Compliant,
ATT-02622,WRK-0218,JH-003,2023-02-22,Afternoon,Absent,,,Pending,2023-02-05,Fit,2023-09-26,Compliant,
ATT-02623,WRK-5007,OD-002,2023-02-27,Night,Present,23:47:00,06:02:00,Pending,2023-01-31,Fit,2023-06-29,Compliant,
ATT-02624,WRK-4845,OD-001,2023-03-18,Night,Present,22:52:00,06:41:00,Certified,2024-01-05,Pending,2023-03-02,Partial,None
ATT-02625,WRK-7147,OD-002,2023-03-07,Morning,Present,06:26:00,16:43:00,Certified,2023-06-06,Fit,2023-06-24,Partial,Boots missing
ATT-02626,WRK-7252,JH-003,2023-03-08,Afternoon,Present,16:02:00,22:28:00,Certified,2023-11-17,Fit,2024-01-14,Partial,Boots missing
