inspection_id,mine_id,inspection_date,inspection_time,inspector_id,inspector_name,inspector_role,requirement_id,checklist_item,response,observations,observations_hindi,severity,photo_reference,latitude,longitude,sync_status,sync_timestamp
INS-OD-001-0254,OD-001,2023-07-05,03:09:00,INS-002,Sita Devi,Environmental Officer,REQ-084,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,High,PHOTO-OD-001-0254.jpg,23.5902615,85.8156441,Pending,
INS-CG-001-0255,CG-001,2023-07-23,06:26:00,INS-003,Amit Patel,Labour Inspector,REQ-072,Fire equipment,Compliant,Fire equipment is functional,Fire equipment ठीक से काम कर रहा है,High,PHOTO-CG-001-0255.jpg,23.6504602,86.4385083,Failed,
INS-JH-003-0256,JH-003,2023-12-28,12:47:00,INS-001,Rajesh Kumar,Safety Officer,REQ-085,Ventilation system,N/A,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Medium,PHOTO-JH-003-0256.jpg,23.8660114,85.6117951,Synced,2023-12-28 16:00:00
INS-OD-001-0257,OD-001,2023-06-23,17:39:00,INS-003,Amit Patel,Labour Inspector,REQ-088,Ventilation system,Compliant,Ventilation system is functional,Ventilation system ठीक से काम कर रहा है,Critical,PHOTO-OD-001-0257.jpg,23.1719906,85.5410886,Synced,2023-06-23 15:00:00
INS-OD-002-0258,OD-002,2023-08-11,02:04:00,INS-002,Sita Devi,Environmental Officer,REQ-029,PPE compliance,Compliant,PPE compliance is functional,PPE compliance ठीक से काम कर रहा है,Low,PHOTO-OD-002-0258.jpg,24.097385,85.8506449,Failed,
INS-OD-002-0259,OD-002,2023-05-27,22:38:00,INS-001,Rajesh Kumar,Safety Officer,REQ-100,Roof support,N/A,Roof support is not adequate,Roof support पर्याप्त नहीं है,Critical,PHOTO-OD-002-0259.jpg,23.3684072,86.1068842,Failed,
INS-JH-003-0260,JH-003,2023-04-10,01:50:00,INS-003,Amit Patel,Labour Inspector,REQ-066,Gas monitoring,N/A,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Medium,PHOTO-JH-003-0260.jpg,23.8407244,85.80974,Failed,
INS-JH-001-0261,JH-001,2023-03-22,02:17:00,INS-002,Sita Devi,Environmental Officer,REQ-046,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Medium,PHOTO-JH-001-0261.jpg,23.9036255,85.5186172,Synced,2023-03-22 17:00:00
INS-JH-003-0262,JH-003,2023-10-14,18:22:00,INS-002,Sita Devi,Environmental Officer,REQ-036,Roof support,N/A,Roof support is not adequate,Roof support पर्याप्त नहीं है,Medium,PHOTO-JH-003-0262.jpg,23.5706565,85.4546515,Synced,2023-10-14 13:00:00
INS-OD-002-0263,OD-002,2023-02-24,17:04:00,INS-003,Amit Patel,Labour Inspector,REQ-038,PPE compliance,Compliant,PPE compliance is functional,PPE compliance ठीक से काम कर रहा है,High,PHOTO-OD-002-0263.jpg,23.9798473,86.0248939,Failed,
INS-OD-001-0264,OD-001,2023-07-13,18:30:00,INS-001,Rajesh Kumar,Safety Officer,REQ-097,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Critical,PHOTO-OD-001-0264.jpg,24.0287233,85.9319702,Pending,
INS-JH-001-0265,JH-001,2023-07-15,20:50:00,INS-001,Rajesh Kumar,Safety Officer,REQ-087,Roof support,Non-Compliant,Roof support is not adequate,Roof support पर्याप्त नहीं है,Critical,PHOTO-JH-001-0265.jpg,23.6832042,85.4597232,Pending,
INS-JH-002-0266,JH-002,2023-05-28,02:25:00,INS-003,Amit Patel,Labour Inspector,REQ-096,PPE compliance,Compliant,PPE compliance is functional,PPE compliance ठीक से काम कर रहा है,Medium,PHOTO-JH-002-0266.jpg,23.5202379,86.3443163,Pending,
INS-JH-002-0267,JH-002,2023-12-16,06:31:00,INS-003,Amit Patel,Labour Inspector,REQ-026,Roof support,N/A,Roof support is not adequate,Roof support पर्याप्त नहीं है,Medium,PHOTO-JH-002-0267.jpg,23.3734786,85.6527666,Synced,2023-12-16 19:00:00
INS-JH-003-0268,JH-003,2023-03-21,03:07:00,INS-001,Rajesh Kumar,Safety Officer,REQ-087,Fire equipment,N/A,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Low,PHOTO-JH-003-0268.jpg,23.708174,85.4922631,Pending,
INS-JH-003-0269,JH-003,2023-11-14,10:31:00,INS-003,Amit Patel,Labour Inspector,REQ-036,Fire equipment,Compliant,Fire equipment is functional,Fire equipment ठीक से काम कर रहा है,High,PHOTO-JH-003-0269.jpg,23.9168694,85.578246,Failed,
INS-CG-002-0270,CG-002,2023-08-05,15:34:00,INS-001,Rajesh Kumar,Safety Officer,REQ-065,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Medium,PHOTO-CG-002-0270.jpg,23.2870682,85.9682051,Pending,
INS-CG-001-0271,CG-001,2023-01-05,00:43:00,INS-001,Rajesh Kumar,Safety Officer,REQ-049,Gas monitoring,Compliant,Gas monitoring is functional,Gas monitoring ठीक से काम कर रहा है,High,PHOTO-CG-001-0271.jpg,24.028542,85.6371524,Pending,
INS-JH-002-0272,JH-002,2023-05-18,15:39:00,INS-002,Sita Devi,Environmental Officer,REQ-047,Roof support,Non-Compliant,Roof support is not adequate,Roof support पर्याप्त नहीं है,Critical,PHOTO-JH-002-0272.jpg,23.8674126,85.8223096,Pending,
INS-JH-003-0273,JH-003,2023-08-19,05:36:00,INS-001,Rajesh Kumar,Safety Officer,REQ-074,Roof support,Compliant,Roof support is functional,Roof support ठीक से काम कर रहा है,High,PHOTO-JH-003-0273.jpg,23.72204,86.3063087,Synced,2023-08-19 04:00:00
INS-CG-002-0274,CG-002,2023-03-18,15:51:00,INS-001,Rajesh Kumar,Safety Officer,REQ-023,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Medium,PHOTO-CG-002-0274.jpg,24.0160899,85.967007,Failed,
INS-JH-003-0275,JH-003,2023-09-07,09:16:00,INS-003,Amit Patel,Labour Inspector,REQ-073,Ventilation system,Non-Compliant,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Low,PHOTO-JH-003-0275.jpg,23.2267364,86.2638181,Pending,
INS-CG-002-0276,CG-002,2023-11-19,03:28:00,INS-003,Amit Patel,Labour Inspector,REQ-043,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,High,PHOTO-CG-002-0276.jpg,24.0985446,85.7077148,Synced,2023-11-19 13:00:00
INS-JH-001-0277,JH-001,2023-06-29,21:38:00,INS-001,Rajesh Kumar,Safety Officer,REQ-074,Gas monitoring,N/A,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Medium,PHOTO-JH-001-0277.jpg,23.4513087,85.7750903,Failed,
INS-OD-001-0278,OD-001,2023-08-17,02:24:00,INS-003,Amit Patel,Labour Inspector,REQ-037,Fire equipment,N/A,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Medium,PHOTO-OD-001-0278.jpg,23.8072807,86.3785667,Pending,
INS-CG-001-0279,CG-001,2023-11-10,18:25:00,INS-001,Rajesh Kumar,Safety Officer,REQ-011,Roof support,Non-Compliant,Roof support is not adequate,Roof support पर्याप्त नहीं है,Medium,PHOTO-CG-001-0279.jpg,23.8197131,86.1604335,Failed,
INS-CG-001-0280,CG-001,2023-07-22,08:56:00,INS-002,Sita Devi,Environmental Officer,REQ-100,PPE compliance,N/A,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Critical,PHOTO-CG-001-0280.jpg,23.3505862,85.4731011,Failed,
INS-JH-002-0281,JH-002,2023-12-05,08:47:00,INS-003,Amit Patel,Labour Inspector,REQ-096,Ventilation system,Compliant,Ventilation system is functional,Ventilation system ठीक से काम कर रहा है,Medium,PHOTO-JH-002-0281.jpg,23.2622537,86.3867937,Pending,
INS-OD-002-0282,OD-002,2023-01-28,00:49:00,INS-002,Sita Devi,Environmental Officer,REQ-068,Ventilation system,Compliant,Ventilation system is functional,Ventilation system ठीक से काम कर रहा है,High,PHOTO-OD-002-0282.jpg,23.2510113,86.3815896,Pending,
INS-JH-003-0283,JH-003,2023-04-28,07:47:00,INS-002,Sita Devi,Environmental Officer,REQ-057,Roof support,Compliant,Roof support is functional,Roof support ठीक से काम कर रहा है,Medium,,23.8302491,86.3103688,Pending,
INS-CG-002-0284,CG-002,2023-09-01,14:55:00,INS-003,Amit Patel,Labour Inspector,REQ-035,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Medium,PHOTO-CG-002-0284.jpg,23.8643229,85.6270366,Failed,
INS-OD-001-0285,OD-001,2023-11-20,23:40:00,INS-003,Amit Patel,Labour Inspector,REQ-056,Gas monitoring,N/A,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,High,PHOTO-OD-001-0285.jpg,23.6483517,85.6771284,Synced,2023-11-20 14:00:00
INS-JH-003-0286,JH-003,2023-07-07,13:16:00,INS-001,Rajesh Kumar,Safety Officer,REQ-039,Ventilation system,Compliant,Ventilation system is functional,Ventilation system ठीक से काम कर रहा है,Medium,PHOTO-JH-003-0286.jpg,23.635898,85.4583171,Pending,
INS-CG-002-0287,CG-002,2023-09-02,09:00:00,INS-002,Sita Devi,Environmental Officer,REQ-038,Gas monitoring,Compliant,Gas monitoring is functional,Gas monitoring ठीक से काम कर रहा है,Low,PHOTO-CG-002-0287.jpg,23.355271,86.3321621,Pending,
INS-OD-001-0288,OD-001,2023-05-08,05:45:00,INS-003,Amit Patel,Labour Inspector,REQ-083,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Medium,PHOTO-OD-001-0288.jpg,23.5889394,85.6895618,Failed,
INS-CG-002-0289,CG-002,2023-12-22,21:17:00,INS-002,Sita Devi,Environmental Officer,REQ-084,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Critical,,23.235164,85.586624,Synced,2023-12-22 20:00:00
INS-OD-001-0290,OD-001,2023-11-13,14:17:00,INS-003,Amit Patel,Labour Inspector,REQ-080,Fire equipment,Compliant,Fire equipment is functional,Fire equipment ठीक से काम कर रहा है,High,,23.2163321,85.9849708,Synced,2023-11-13 03:00:00
INS-JH-003-0291,JH-003,2023-05-18,04:45:00,INS-002,Sita Devi,Environmental Officer,REQ-094,Ventilation system,Compliant,Ventilation system is functional,Ventilation system ठीक से काम कर रहा है,Low,,23.6602796,85.7919129,Pending,
INS-CG-002-0292,CG-002,2023-09-13,11:29:00,INS-003,Amit Patel,Labour Inspector,REQ-005,PPE compliance,Compliant,PPE compliance is functional,PPE compliance ठीक से काम कर रहा है,Medium,,23.9423529,85.5213847,Pending,
INS-JH-002-0293,JH-002,2023-04-09,08:52:00,INS-002,Sita Devi,Environmental Officer,REQ-002,Ventilation system,N/A,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Medium,PHOTO-JH-002-0293.jpg,24.1416722,85.6971622,Synced,2023-04-09 06:00:00
INS-OD-001-0294,OD-001,2023-02-18,16:42:00,INS-001,Rajesh Kumar,Safety Officer,REQ-061,Fire equipment,N/A,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,High,PHOTO-OD-001-0294.jpg,23.3253114,86.1782371,Failed,
INS-OD-002-0295,OD-002,2023-09-24,03:16:00,INS-002,Sita Devi,Environmental Officer,REQ-082,PPE compliance,Compliant,PPE compliance is functional,PPE compliance ठीक से काम कर रहा है,High,PHOTO-OD-002-0295.jpg,24.0303577,85.6677882,Synced,2023-09-24 07:00:00
INS-CG-001-0296,CG-001,2023-08-11,10:00:00,INS-001,Rajesh Kumar,Safety Officer,REQ-036,Gas monitoring,Compliant,Gas monitoring is functional,Gas monitoring ठीक से काम कर रहा है,Critical,PHOTO-CG-001-0296.jpg,23.1756299,85.4919934,Failed,
INS-OD-001-0297,OD-001,2023-12-19,19:09:00,INS-002,Sita Devi,Environmental Officer,REQ-099,Ventilation system,Compliant,Ventilation system is functional,Ventilation system ठीक से काम कर रहा है,Medium,PHOTO-OD-001-0297.jpg,23.8526446,85.7884221,Failed,
INS-JH-001-0298,JH-001,2023-01-31,11:41:00,INS-001,Rajesh Kumar,Safety Officer,REQ-090,Gas monitoring,Compliant,Gas monitoring is functional,Gas monitoring ठीक से काम कर रहा है,Medium,PHOTO-JH-001-0298.jpg,23.4834396,86.0083504,Failed,
INS-CG-002-0299,CG-002,2023-06-27,14:46:00,INS-001,Rajesh Kumar,Safety Officer,REQ-003,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Medium,PHOTO-CG-002-0299.jpg,23.2061885,86.156626,Failed,
INS-JH-003-0300,JH-003,2023-10-05,22:31:00,INS-001,Rajesh Kumar,Safety Officer,REQ-073,Roof support,N/A,Roof support is not adequate,Roof support पर्याप्त नहीं है,High,PHOTO-JH-003-0300.jpg,23.6350947,86.3176618,Failed,
INS-CG-002-0301,CG-002,2023-10-11,05:04:00,INS-003,Amit Patel,Labour Inspector,REQ-020,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,High,PHOTO-CG-002-0301.jpg,23.620779,86.2259179,Failed,
INS-OD-001-0302,OD-001,2023-04-05,00:39:00,INS-002,Sita Devi,Environmental Officer,REQ-100,Gas monitoring,Compliant,Gas monitoring is functional,Gas monitoring ठीक से काम कर रहा है,High,PHOTO-OD-001-0302.jpg,23.8249894,85.9889565,Pending,
INS-JH-002-0303,JH-002,2023-09-26,21:31:00,INS-003,Amit Patel,Labour Inspector,REQ-020,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,High,PHOTO-JH-002-0303.jpg,23.4887241,85.5462563,Failed,
INS-JH-001-0304,JH-001,2023-01-23,04:11:00,INS-001,Rajesh Kumar,Safety Officer,REQ-026,Ventilation system,Non-Compliant,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Medium,,23.7377122,86.2862995,Failed,
INS-OD-001-0305,OD-001,2023-09-27,19:44:00,INS-003,Amit Patel,Labour Inspector,REQ-033,Ventilation system,Non-Compliant,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Medium,PHOTO-OD-001-0305.jpg,23.237574,86.380211,Synced,2023-09-27 20:00:00
INS-OD-001-0306,OD-001,2023-02-10,14:51:00,INS-003,Amit Patel,Labour Inspector,REQ-008,PPE compliance,N/A,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Critical,PHOTO-OD-001-0306.jpg,23.9609496,85.5083,Failed,
INS-JH-003-0307,JH-003,2023-09-28,01:46:00,INS-001,Rajesh Kumar,Safety Officer,REQ-039,Ventilation system,Compliant,Ventilation system is functional,Ventilation system ठीक से काम कर रहा है,Low,,23.397718,85.8353311,Synced,2023-09-28 16:00:00
INS-CG-001-0308,CG-001,2023-05-08,18:40:00,INS-001,Rajesh Kumar,Safety Officer,REQ-072,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Low,PHOTO-CG-001-0308.jpg,23.7432637,86.1244926,Failed,
INS-CG-001-0309,CG-001,2023-08-07,03:10:00,INS-001,Rajesh Kumar,Safety Officer,REQ-071,Fire equipment,N/A,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,High,PHOTO-CG-001-0309.jpg,23.7006005,86.0499157,Pending,
INS-JH-003-0310,JH-003,2023-10-09,10:54:00,INS-002,Sita Devi,Environmental Officer,REQ-053,Fire equipment,N/A,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,High,PHOTO-JH-003-0310.jpg,23.7298447,85.6639281,Failed,
INS-CG-001-0311,CG-001,2023-05-11,11:28:00,INS-002,Sita Devi,Environmental Officer,REQ-051,Ventilation system,N/A,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Low,PHOTO-CG-001-0311.jpg,23.7624628,85.9676094,Pending,
INS-JH-001-0312,JH-001,2023-06-03,07:13:00,INS-002,Sita Devi,Environmental Officer,REQ-003,PPE compliance,N/A,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Medium,,23.6270698,85.6061071,Pending,
INS-JH-003-0313,JH-003,2023-10-26,07:14:00,INS-002,Sita Devi,Environmental Officer,REQ-039,Ventilation system,N/A,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Critical,PHOTO-JH-003-0313.jpg,23.3841373,85.5272016,Pending,
INS-CG-002-0314,CG-002,2023-09-05,05:31:00,INS-003,Amit Patel,Labour Inspector,REQ-090,Gas monitoring,Compliant,Gas monitoring is functional,Gas monitoring ठीक से काम कर रहा है,High,,23.9750412,85.8315461,Synced,2023-09-06 00:00:00
INS-JH-003-0315,JH-003,2023-06-28,13:26:00,INS-001,Rajesh Kumar,Safety Officer,REQ-099,Roof support,N/A,Roof support is not adequate,Roof support पर्याप्त नहीं है,Low,PHOTO-JH-003-0315.jpg,23.7988936,85.5041279,Failed,
INS-JH-001-0316,JH-001,2023-06-13,17:36:00,INS-001,Rajesh Kumar,Safety Officer,REQ-042,Gas monitoring,N/A,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Medium,,23.8403352,86.4473673,Pending,
INS-CG-002-0317,CG-002,2023-11-01,18:32:00,INS-001,Rajesh Kumar,Safety Officer,REQ-029,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Critical,,23.5028682,85.9258547,Failed,
INS-JH-001-0318,JH-001,2023-10-08,12:16:00,INS-001,Rajesh Kumar,Safety Officer,REQ-052,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Medium,PHOTO-JH-001-0318.jpg,23.6476225,85.6481085,Pending,
INS-CG-001-0319,CG-001,2023-10-20,06:35:00,INS-003,Amit Patel,Labour Inspector,REQ-095,Gas monitoring,Compliant,Gas monitoring is functional,Gas monitoring ठीक से काम कर रहा है,Medium,,23.9434719,85.7734116,Failed,
INS-JH-001-0320,JH-001,2023-02-27,21:26:00,INS-002,Sita Devi,Environmental Officer,REQ-047,PPE compliance,Compliant,PPE compliance is functional,PPE compliance ठीक से काम कर रहा है,High,PHOTO-JH-001-0320.jpg,23.8221099,86.2196813,Synced,2023-02-27 11:00:00
INS-OD-002-0321,OD-002,2023-08-15,19:09:00,INS-002,Sita Devi,Environmental Officer,REQ-006,Roof support,Compliant,Roof support is functional,Roof support ठीक से काम कर रहा है,High,,23.8951868,85.5358144,Failed,
INS-JH-001-0322,JH-001,2023-05-05,19:59:00,INS-001,Rajesh Kumar,Safety Officer,REQ-037,Ventilation system,Non-Compliant,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Low,PHOTO-JH-001-0322.jpg,23.6378903,85.7818767,Failed,
INS-OD-002-0323,OD-002,2023-04-19,06:34:00,INS-003,Amit Patel,Labour Inspector,REQ-097,PPE compliance,N/A,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Critical,PHOTO-OD-002-0323.jpg,24.1590021,86.1450711,Failed,
INS-JH-001-0324,JH-001,2023-07-12,18:57:00,INS-003,Amit Patel,Labour Inspector,REQ-068,Ventilation system,Non-Compliant,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Medium,,23.3673961,86.1465267,Pending,
INS-JH-001-0325,JH-001,2023-08-27,20:00:00,INS-001,Rajesh Kumar,Safety Officer,REQ-050,PPE compliance,N/A,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,High,PHOTO-JH-001-0325.jpg,23.1857783,86.3174104,Failed,
INS-OD-001-0326,OD-001,2023-04-29,12:32:00,INS-003,Amit Patel,Labour Inspector,REQ-013,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Low,,23.6673508,85.9079863,Failed,
INS-JH-001-0327,JH-001,2023-01-21,07:59:00,INS-003,Amit Patel,Labour Inspector,REQ-040,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Critical,PHOTO-JH-001-0327.jpg,23.1850722,86.1343114,Pending,
INS-CG-001-0328,CG-001,2023-06-04,07:32:00,INS-002,Sita Devi,Environmental Officer,REQ-008,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Low,PHOTO-CG-001-0328.jpg,24.1158164,85.6755827,Pending,
INS-OD-001-0329,OD-001,2023-12-03,04:05:00,INS-003,Amit Patel,Labour Inspector,REQ-049,Gas monitoring,N/A,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Medium,PHOTO-OD-001-0329.jpg,23.7395986,85.876465,Pending,
INS-OD-002-0330,OD-002,2023-06-18,14:34:00,INS-001,Rajesh Kumar,Safety Officer,REQ-027,Roof support,N/A,Roof support is not adequate,Roof support पर्याप्त नहीं है,Medium,PHOTO-OD-002-0330.jpg,23.4756984,86.1551364,Failed,
INS-JH-002-0331,JH-002,2023-08-09,04:41:00,INS-003,Amit Patel,Labour Inspector,REQ-021,PPE compliance,Compliant,PPE compliance is functional,PPE compliance ठीक से काम कर रहा है,Low,,24.0062225,85.5955228,Synced,2023-08-10 00:00:00
INS-JH-003-0332,JH-003,2023-07-31,13:19:00,INS-002,Sita Devi,Environmental Officer,REQ-096,PPE compliance,Compliant,PPE compliance is functional,PPE compliance ठीक से काम कर रहा है,Medium,,23.3514465,86.2124475,Failed,
INS-OD-002-0333,OD-002,2023-05-17,19:36:00,INS-003,Amit Patel,Labour Inspector,REQ-030,Gas monitoring,Compliant,Gas monitoring is functional,Gas monitoring ठीक से काम कर रहा है,Medium,PHOTO-OD-002-0333.jpg,23.5259613,86.1381413,Pending,
INS-JH-002-0334,JH-002,2023-09-15,19:30:00,INS-003,Amit Patel,Labour Inspector,REQ-084,PPE compliance,Compliant,PPE compliance is functional,PPE compliance ठीक से काम कर रहा है,Critical,PHOTO-JH-002-0334.jpg,23.3042127,85.6432598,Synced,2023-09-15 13:00:00
INS-CG-002-0335,CG-002,2023-01-08,08:26:00,INS-001,Rajesh Kumar,Safety Officer,REQ-096,Roof support,Compliant,Roof support is functional,Roof support ठीक से काम कर रहा है,Low,,24.1213991,85.8892852,Failed,
INS-OD-001-0336,OD-001,2023-12-19,10:55:00,INS-002,Sita Devi,Environmental Officer,REQ-032,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Low,PHOTO-OD-001-0336.jpg,23.9910285,86.1702009,Pending,
INS-OD-002-0337,OD-002,2023-10-20,19:34:00,INS-003,Amit Patel,Labour Inspector,REQ-083,Ventilation system,N/A,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Low,PHOTO-OD-002-0337.jpg,23.9937101,85.4924159,Synced,2023-10-20 16:00:00
INS-OD-002-0338,OD-002,2023-07-22,23:02:00,INS-003,Amit Patel,Labour Inspector,REQ-050,Gas monitoring,N/A,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Low,,23.6062539,86.3343976,Pending,
INS-OD-001-0339,OD-001,2023-03-27,13:18:00,INS-003,Amit Patel,Labour Inspector,REQ-007,Gas monitoring,Compliant,Gas monitoring is functional,Gas monitoring ठीक से काम कर रहा है,Critical,PHOTO-OD-001-0339.jpg,23.6183981,86.1726468,Synced,2023-03-27 05:00:00
INS-CG-002-0340,CG-002,2023-10-27,22:34:00,INS-001,Rajesh Kumar,Safety Officer,REQ-051,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Critical,,23.6203807,86.3466175,Synced,2023-10-27 14:00:00
INS-JH-001-0341,JH-001,2023-05-09,10:44:00,INS-003,Amit Patel,Labour Inspector,REQ-092,Roof support,N/A,Roof support is not adequate,Roof support पर्याप्त नहीं है,Low,,23.8729267,86.0840724,Synced,2023-05-09 16:00:00
INS-CG-001-0342,CG-001,2023-07-16,23:50:00,INS-003,Amit Patel,Labour Inspector,REQ-079,Roof support,Non-Compliant,Roof support is not adequate,Roof support पर्याप्त नहीं है,Critical,,23.337585,85.7851931,Failed,
INS-CG-002-0343,CG-002,2023-03-18,05:55:00,INS-001,Rajesh Kumar,Safety Officer,REQ-023,Ventilation system,Non-Compliant,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,High,PHOTO-CG-002-0343.jpg,23.9353304,85.8962582,Failed,
INS-JH-002-0344,JH-002,2023-03-02,04:12:00,INS-001,Rajesh Kumar,Safety Officer,REQ-080,PPE compliance,Compliant,PPE compliance is functional,PPE compliance ठीक से काम कर रहा है,Critical,PHOTO-JH-002-0344.jpg,23.6653422,86.2574546,Failed,
INS-OD-001-0345,OD-001,2023-05-02,06:37:00,INS-003,Amit Patel,Labour Inspector,REQ-061,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Critical,,23.7668021,85.6947132,Failed,
INS-JH-003-0346,JH-003,2023-11-14,20:35:00,INS-001,Rajesh Kumar,Safety Officer,REQ-007,Roof support,Compliant,Roof support is functional,Roof support ठीक से काम कर रहा है,Low,PHOTO-JH-003-0346.jpg,23.2034211,86.3038293,Failed,
INS-OD-002-0347,OD-002,2023-11-05,09:21:00,INS-001,Rajesh Kumar,Safety Officer,REQ-007,Ventilation system,Non-Compliant,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Medium,,23.4510805,86.1109246,Failed,
INS-OD-002-0348,OD-002,2023-10-21,17:11:00,INS-002,Sita Devi,Environmental Officer,REQ-096,Gas monitoring,Non-Compliant,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,Low,,23.4659945,85.8185694,Pending,
INS-CG-002-0349,CG-002,2023-02-04,13:53:00,INS-003,Amit Patel,Labour Inspector,REQ-009,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Medium,,24.0261079,85.7792085,Pending,
INS-OD-002-0350,OD-002,2023-04-18,22:13:00,INS-003,Amit Patel,Labour Inspector,REQ-008,Ventilation system,N/A,Ventilation system is not adequate,Ventilation system पर्याप्त नहीं है,Low,PHOTO-OD-002-0350.jpg,23.8553543,86.3838917,Failed,
INS-JH-003-0351,JH-003,2023-08-07,19:54:00,INS-002,Sita Devi,Environmental Officer,REQ-034,Gas monitoring,N/A,Gas monitoring is not adequate,Gas monitoring पर्याप्त नहीं है,High,PHOTO-JH-003-0351.jpg,23.78099,85.9463969,Failed,
INS-CG-001-0352,CG-001,2023-09-12,15:51:00,INS-001,Rajesh Kumar,Safety Officer,REQ-079,Roof support,N/A,Roof support is not adequate,Roof support पर्याप्त नहीं है,High,PHOTO-CG-001-0352.jpg,23.1682809,85.4739868,Failed,
INS-CG-002-0353,CG-002,2023-03-02,23:54:00,INS-001,Rajesh Kumar,Safety Officer,REQ-079,Fire equipment,Non-Compliant,Fire equipment is not adequate,Fire equipment पर्याप्त नहीं है,Low,PHOTO-CG-002-0353.jpg,23.7271155,86.0875035,Synced,2023-03-02 20:00:00
INS-JH-002-0354,JH-002,2023-12-20,09:16:00,INS-001,Rajesh Kumar,Safety Officer,REQ-040,PPE compliance,N/A,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,High,PHOTO-JH-002-0354.jpg,23.2805368,85.7832829,Pending,
INS-CG-001-0355,CG-001,2023-10-19,19:01:00,INS-001,Rajesh Kumar,Safety Officer,REQ-025,PPE compliance,Non-Compliant,PPE compliance is not adequate,PPE compliance पर्याप्त नहीं है,Critical,PHOTO-CG-001-0355.jpg,23.9639544,86.0956522,Pending,
