production_id,mine_id,month_year,target_production,actual_production,dispatch,coal_grade,equipment_downtime_hours,downtime_reason,created_at,updated_at
PM-OD-003-20241101,OD-003,2024-11-01,360000,405460,405407,A,20.8,Planned maintenance,2024-11-06 00:00:00,2024-11-06 00:00:00
PM-OD-003-20241201,OD-003,2024-12-01,360000,388119,382372,A,21.3,Weather delay,2024-12-06 00:00:00,2024-12-06 00:00:00
PM-CG-001-20230101,CG-001,2023-01-01,1200000,1127807,1073048,C,38.2,Equipment breakdown,2023-01-06 00:00:00,2023-01-06 00:00:00
PM-CG-001-20230201,CG-001,2023-02-01,1200000,1149046,1116337,B,25.5,Weather delay,2023-02-06 00:00:00,2023-02-06 00:00:00
PM-CG-001-20230301,CG-001,2023-03-01,1200000,1265448,1213568,B,3.8,Equipment breakdown,2023-03-06 00:00:00,2023-03-06 00:00:00
PM-CG-001-20230401,CG-001,2023-04-01,1200000,1243095,1195908,E,6.9,Equipment breakdown,2023-04-06 00:00:00,2023-04-06 00:00:00
PM-CG-001-20230501,CG-001,2023-05-01,1200000,1249645,1215877,A,43.1,Equipment breakdown,2023-05-06 00:00:00,2023-05-06 00:00:00
PM-CG-001-20230601,CG-001,2023-06-01,1200000,1344435,1322763,B,3.5,Equipment breakdown,2023-06-06 00:00:00,2023-06-06 00:00:00
PM-CG-001-20230701,CG-001,2023-07-01,1200000,1375554,1327351,D,33.1,Equipment breakdown,2023-07-06 00:00:00,2023-07-06 00:00:00
PM-CG-001-20230801,CG-001,2023-08-01,1200000,1324309,1271284,D,41.0,Planned maintenance,2023-08-06 00:00:00,2023-08-06 00:00:00
PM-CG-001-20230901,CG-001,2023-09-01,1200000,1105394,1081734,E,14.2,Weather delay,2023-09-06 00:00:00,2023-09-06 00:00:00
PM-CG-001-20231001,CG-001,2023-10-01,1200000,1126283,1125040,D,13.2,Weather delay,2023-10-06 00:00:00,2023-10-06 00:00:00
PM-CG-001-20231101,CG-001,2023-11-01,1200000,1331424,1316665,A,43.7,Weather delay,2023-11-06 00:00:00,2023-11-06 00:00:00
PM-CG-001-20231201,CG-001,2023-12-01,1200000,1198821,1193075,C,37.2,Planned maintenance,2023-12-06 00:00:00,2023-12-06 00:00:00
PM-CG-001-20240101,CG-001,2024-01-01,1200000,1238543,1198434,B,29.8,Weather delay,2024-01-06 00:00:00,2024-01-06 00:00:00
PM-CG-001-20240201,CG-001,2024-02-01,1200000,1292007,1276985,B,30.2,Weather delay,2024-02-06 00:00:00,2024-02-06 00:00:00
PM-CG-001-20240301,CG-001,2024-03-01,1200000,1252682,1209397,D,1.6,Equipment breakdown,2024-03-06 00:00:00,2024-03-06 00:00:00
PM-CG-001-20240401,CG-001,2024-04-01,1200000,1283649,1225251,C,15.7,Equipment breakdown,2024-04-06 00:00:00,2024-04-06 00:00:00
PM-CG-001-20240501,CG-001,2024-05-01,1200000,1083230,1036226,E,42.1,Equipment breakdown,2024-05-06 00:00:00,2024-05-06 00:00:00
PM-CG-001-20240601,CG-001,2024-06-01,1200000,1211106,1205867,B,12.3,Equipment breakdown,2024-06-06 00:00:00,2024-06-06 00:00:00
PM-CG-001-20240701,CG-001,2024-07-01,1200000,1368258,1320036,C,38.6,Equipment breakdown,2024-07-06 00:00:00,2024-07-06 00:00:00
PM-CG-001-20240801,CG-001,2024-08-01,1200000,1366641,1307927,B,41.3,Weather delay,2024-08-06 00:00:00,2024-08-06 00:00:00
PM-CG-001-20240901,CG-001,2024-09-01,1200000,1262786,1224738,E,17.6,Equipment breakdown,2024-09-06 00:00:00,2024-09-06 00:00:00
PM-CG-001-20241001,CG-001,2024-10-01,1200000,1025010,1001259,D,17.7,Weather delay,2024-10-06 00:00:00,2024-10-06 00:00:00
PM-CG-001-20241101,CG-001,2024-11-01,1200000,1262042,1235826,C,5.2,Planned maintenance,2024-11-06 00:00:00,2024-11-06 00:00:00
PM-CG-001-20241201,CG-001,2024-12-01,1200000,1189731,1167099,E,15.7,Weather delay,2024-12-06 00:00:00,2024-12-06 00:00:00
PM-CG-002-20230101,CG-002,2023-01-01,960000,879753,838546,D,43.7,Equipment breakdown,2023-01-06 00:00:00,2023-01-06 00:00:00
PM-CG-002-20230201,CG-002,2023-02-01,960000,1002980,958682,A,45.4,Equipment breakdown,2023-02-06 00:00:00,2023-02-06 00:00:00
PM-CG-002-20230301,CG-002,2023-03-01,960000,1102827,1054088,B,42.6,Planned maintenance,2023-03-06 00:00:00,2023-03-06 00:00:00
PM-CG-002-20230401,CG-002,2023-04-01,960000,927929,898746,E,20.1,Weather delay,2023-04-06 00:00:00,2023-04-06 00:00:00
PM-CG-002-20230501,CG-002,2023-05-01,960000,1025260,1019385,A,40.0,Weather delay,2023-05-06 00:00:00,2023-05-06 00:00:00
PM-CG-002-20230601,CG-002,2023-06-01,960000,933537,931274,A,33.1,Planned maintenance,2023-06-06 00:00:00,2023-06-06 00:00:00
PM-CG-002-20230701,CG-002,2023-07-01,960000,943694,941360,C,4.8,Weather delay,2023-07-06 00:00:00,2023-07-06 00:00:00
PM-CG-002-20230801,CG-002,2023-08-01,960000,921792,917261,C,2.9,Equipment breakdown,2023-08-06 00:00:00,2023-08-06 00:00:00
PM-CG-002-20230901,CG-002,2023-09-01,960000,870664,832448,D,4.4,Planned maintenance,2023-09-06 00:00:00,2023-09-06 00:00:00
PM-CG-002-20231001,CG-002,2023-10-01,960000,1000810,980650,A,2.4,Equipment breakdown,2023-10-06 00:00:00,2023-10-06 00:00:00
PM-CG-002-20231101,CG-002,2023-11-01,960000,886147,847419,E,9.8,Weather delay,2023-11-06 00:00:00,2023-11-06 00:00:00
PM-CG-002-20231201,CG-002,2023-12-01,960000,875661,841332,B,15.8,Planned maintenance,2023-12-06 00:00:00,2023-12-06 00:00:00
PM-CG-002-20240101,CG-002,2024-01-01,960000,1043129,1022056,C,41.2,Planned maintenance,2024-01-06 00:00:00,2024-01-06 00:00:00
PM-CG-002-20240201,CG-002,2024-02-01,960000,1100407,1075109,B,5.3,Planned maintenance,2024-02-06 00:00:00,2024-02-06 00:00:00
PM-CG-002-20240301,CG-002,2024-03-01,960000,853959,826557,B,28.3,Planned maintenance,2024-03-06 00:00:00,2024-03-06 00:00:00
PM-CG-002-20240401,CG-002,2024-04-01,960000,866182,825142,D,25.3,Weather delay,2024-04-06 00:00:00,2024-04-06 00:00:00
PM-CG-002-20240501,CG-002,2024-05-01,960000,834304,811288,C,24.6,Planned maintenance,2024-05-06 00:00:00,2024-05-06 00:00:00
PM-CG-002-20240601,CG-002,2024-06-01,960000,946177,909349,E,2.1,Weather delay,2024-06-06 00:00:00,2024-06-06 00:00:00
PM-CG-002-20240701,CG-002,2024-07-01,960000,966177,939995,A,2.9,Equipment breakdown,2024-07-06 00:00:00,2024-07-06 00:00:00
PM-CG-002-20240801,CG-002,2024-08-01,960000,1060021,1029612,A,23.5,Equipment breakdown,2024-08-06 00:00:00,2024-08-06 00:00:00
PM-CG-002-20240901,CG-002,2024-09-01,960000,837165,798688,E,7.1,Planned maintenance,2024-09-06 00:00:00,2024-09-06 00:00:00
PM-CG-002-20241001,CG-002,2024-10-01,960000,895204,878780,E,34.2,Equipment breakdown,2024-10-06 00:00:00,2024-10-06 00:00:00
PM-CG-002-20241101,CG-002,2024-11-01,960000,1102452,1076575,D,24.3,Equipment breakdown,2024-11-06 00:00:00,2024-11-06 00:00:00
PM-CG-002-20241201,CG-002,2024-12-01,960000,844563,831969,E,34.6,Planned maintenance,2024-12-06 00:00:00,2024-12-06 00:00:00
