reading_id,mine_id,reading_date,reading_time,parameter,sub_parameter,value,unit,permissible_limit,exceedance,location,latitude,longitude,equipment_id,recorded_by
ER-004243,OD-001,2023-11-15,09:31:00,Dust,PM10,81.9,mg/m³,100,False,Pit Area,23.6175967,86.3712292,SENS-PM1-081,Rajesh Kumar
ER-004244,JH-001,2023-02-03,05:11:00,Vibration,Whole Body,2.8,m/s²,5,False,Crusher Area,23.821419,86.2585816,SENS-Who-008,Amit Patel
ER-004245,CG-001,2023-11-28,11:09:00,Groundwater,Level,80.9,m,100,False,Crusher Area,23.3260802,85.9615764,SENS-Lev-022,Sita Devi
ER-004246,CG-001,2023-07-23,10:12:00,Noise,SPL,63.4,dB,85,False,Drill Site,24.1291536,86.2406225,SENS-SPL-100,Amit Patel
ER-004247,CG-002,2023-12-26,19:40:00,Air Quality,NOx,76.5,mg/m³,80,False,Crusher Area,23.6572675,86.3929457,SENS-NOx-066,Rajesh Kumar
ER-004248,JH-002,2023-03-11,03:19:00,Vibration,Whole Body,3.9,m/s²,5,False,Effluent Treatment,23.5683311,85.9429273,SENS-Who-009,Rajesh Kumar
ER-004249,OD-002,2023-11-05,13:28:00,Vibration,Whole Body,2.8,m/s²,5,False,Effluent Treatment,23.7327706,85.8247437,SENS-Who-037,Sita Devi
ER-004250,JH-003,2023-04-12,10:56:00,Air Quality,NOx,58.0,mg/m³,80,False,Effluent Treatment,23.340068,86.0575577,SENS-NOx-067,Rajesh Kumar
ER-004251,CG-002,2023-12-17,04:46:00,Water,pH,10.2,,9,True,Pit Area,23.5301695,86.3002849,SENS-pH-080,Rajesh Kumar
ER-004252,JH-001,2023-11-30,14:03:00,Noise,SPL,44.9,dB,85,False,Effluent Treatment,23.2489897,85.6138025,SENS-SPL-048,Rajesh Kumar
ER-004253,JH-003,2023-11-14,19:14:00,Dust,PM2.5,34.3,mg/m³,60,False,Effluent Treatment,23.2966711,85.6073658,SENS-PM2-028,Rajesh Kumar
ER-004254,JH-003,2023-12-16,10:18:00,Water,pH,6.2,,9,False,Crusher Area,23.5758531,86.3668643,SENS-pH-067,Rajesh Kumar
ER-004255,CG-002,2023-02-10,10:45:00,Water,pH,5.6,,9,False,Drill Site,23.8709038,86.3225979,SENS-pH-068,Rajesh Kumar
ER-004256,JH-002,2023-09-15,23:47:00,Water,pH,8.5,,9,False,Effluent Treatment,23.6888887,85.5211134,SENS-pH-007,Rajesh Kumar
ER-004257,JH-001,2023-05-04,02:09:00,Vibration,Whole Body,3.8,m/s²,5,False,Effluent Treatment,23.9411604,85.9944187,SENS-Who-099,Rajesh Kumar
ER-004258,JH-003,2023-07-27,20:40:00,Vibration,Whole Body,4.4,m/s²,5,False,Pit Area,24.0642901,85.9735349,SENS-Who-005,Rajesh Kumar
ER-004259,OD-002,2023-03-22,15:16:00,Water,pH,8.0,,9,False,Effluent Treatment,23.1965798,85.6435219,SENS-pH-076,Sita Devi
ER-004260,OD-001,2023-02-23,10:40:00,Dust,PM2.5,69.8,mg/m³,60,True,Effluent Treatment,23.2805555,85.8098184,SENS-PM2-062,Rajesh Kumar
ER-004261,JH-001,2023-11-11,19:06:00,Dust,PM10,50.6,mg/m³,100,False,Crusher Area,23.7861114,86.2546425,SENS-PM1-043,Sita Devi
ER-004262,OD-001,2023-03-23,20:47:00,Water,TSS,108.2,mg/m³,100,True,Pit Area,23.3106594,85.924315,SENS-TSS-051,Rajesh Kumar
ER-004263,OD-002,2023-03-11,16:29:00,Dust,PM10,69.4,mg/m³,100,False,Pit Area,23.4921985,85.8087368,SENS-PM1-037,Amit Patel
ER-004264,JH-003,2023-06-30,01:17:00,Groundwater,Level,88.5,m,100,False,Drill Site,24.1510839,86.080825,SENS-Lev-082,Rajesh Kumar
ER-004265,JH-003,2023-01-25,13:31:00,Groundwater,Level,91.9,m,100,False,Effluent Treatment,23.9010498,85.6453245,SENS-Lev-001,Amit Patel
ER-004266,OD-001,2023-08-19,13:15:00,Vibration,Whole Body,4.8,m/s²,5,False,Drill Site,23.321986,86.3954724,SENS-Who-034,Rajesh Kumar
ER-004267,OD-002,2023-06-14,16:34:00,Water,TSS,76.7,mg/m³,100,False,Pit Area,23.2007301,85.7879432,SENS-TSS-091,Rajesh Kumar
ER-004268,JH-001,2023-04-01,22:46:00,Water,TSS,118.9,mg/m³,100,True,Drill Site,23.8941531,85.7203306,SENS-TSS-039,Rajesh Kumar
ER-004269,JH-002,2023-09-25,01:33:00,Water,TSS,64.6,mg/m³,100,False,Pit Area,23.5789879,85.9507533,SENS-TSS-070,Rajesh Kumar
ER-004270,CG-002,2023-06-04,20:28:00,Water,pH,9.1,,9,True,Effluent Treatment,23.5240364,85.829007,SENS-pH-070,Sita Devi
ER-004271,JH-001,2023-12-30,04:08:00,Noise,SPL,55.2,dB,85,False,Pit Area,23.9996912,86.2387088,SENS-SPL-046,Amit Patel
ER-004272,JH-001,2023-12-31,19:42:00,Groundwater,Level,59.0,m,100,False,Drill Site,23.3442906,85.8384404,SENS-Lev-027,Rajesh Kumar
ER-004273,OD-002,2023-12-02,12:55:00,Air Quality,NOx,60.2,mg/m³,80,False,Effluent Treatment,23.3452801,85.9385689,SENS-NOx-093,Rajesh Kumar
ER-004274,JH-003,2023-10-31,13:00:00,Water,pH,9.0,,9,False,Pit Area,24.0965674,85.7878261,SENS-pH-040,Amit Patel
ER-004275,CG-001,2023-01-06,04:39:00,Water,TSS,97.7,mg/m³,100,False,Crusher Area,23.5703656,86.4049977,SENS-TSS-068,Amit Patel
ER-004276,JH-003,2023-08-12,18:01:00,Water,TSS,106.7,mg/m³,100,True,Drill Site,23.2669796,86.2923526,SENS-TSS-036,Rajesh Kumar
ER-004277,CG-002,2023-09-21,00:56:00,Noise,SPL,88.6,dB,85,True,Drill Site,24.0902846,85.8103754,SENS-SPL-084,Rajesh Kumar
ER-004278,OD-001,2023-06-13,18:15:00,Noise,SPL,50.0,dB,85,False,Pit Area,23.2892442,85.5221168,SENS-SPL-100,Amit Patel
ER-004279,CG-001,2023-06-15,13:13:00,Air Quality,NOx,65.7,mg/m³,80,False,Effluent Treatment,23.5143041,85.7808379,SENS-NOx-048,Rajesh Kumar
ER-004280,OD-002,2023-10-09,09:17:00,Groundwater,Level,61.2,m,100,False,Effluent Treatment,23.3837129,86.3962533,SENS-Lev-003,Rajesh Kumar
ER-004281,JH-001,2023-10-07,13:17:00,Dust,PM2.5,68.1,mg/m³,60,True,Crusher Area,24.005644,85.6182528,SENS-PM2-055,Sita Devi
ER-004282,JH-002,2023-05-10,04:49:00,Air Quality,NOx,45.6,mg/m³,80,False,Crusher Area,23.976782,86.2772572,SENS-NOx-029,Rajesh Kumar
ER-004283,JH-002,2023-04-12,13:27:00,Water,TSS,84.5,mg/m³,100,False,Drill Site,23.3904321,85.7936116,SENS-TSS-041,Sita Devi
ER-004284,CG-001,2023-01-01,22:56:00,Vibration,Whole Body,5.9,m/s²,5,True,Pit Area,23.7332445,85.4861373,SENS-Who-001,Sita Devi
ER-004285,OD-002,2023-11-18,16:47:00,Dust,PM10,119.6,mg/m³,100,True,Pit Area,23.3227992,85.8816798,SENS-PM1-067,Sita Devi
ER-004286,JH-002,2023-04-24,22:17:00,Water,TSS,103.6,mg/m³,100,True,Drill Site,23.1793828,86.0745827,SENS-TSS-075,Amit Patel
ER-004287,CG-002,2023-02-28,22:07:00,Groundwater,Level,76.4,m,100,False,Effluent Treatment,23.6879457,85.8910376,SENS-Lev-008,Sita Devi
ER-004288,CG-002,2023-11-15,00:43:00,Groundwater,Level,57.8,m,100,False,Crusher Area,23.6520686,85.6139436,SENS-Lev-083,Amit Patel
ER-004289,OD-001,2023-09-09,16:32:00,Vibration,Whole Body,3.3,m/s²,5,False,Crusher Area,23.5387863,85.9704787,SENS-Who-092,Rajesh Kumar
ER-004290,CG-002,2023-09-17,14:29:00,Noise,SPL,54.9,dB,85,False,Crusher Area,23.3340343,86.3646662,SENS-SPL-037,Rajesh Kumar
ER-004291,CG-002,2023-06-26,00:29:00,Groundwater,Level,87.9,m,100,False,Crusher Area,24.1143367,85.5933557,SENS-Lev-043,Sita Devi
ER-004292,CG-001,2023-08-22,18:09:00,Noise,SPL,83.2,dB,85,False,Crusher Area,23.3225642,85.4822985,SENS-SPL-027,Sita Devi
ER-004293,CG-002,2023-12-12,19:43:00,Noise,SPL,49.6,dB,85,False,Effluent Treatment,23.5044573,86.2097735,SENS-SPL-090,Sita Devi
ER-004294,JH-003,2023-07-02,17:27:00,Water,pH,10.0,,9,True,Crusher Area,23.8667327,86.4236136,SENS-pH-064,Sita Devi
ER-004295,JH-002,2023-08-22,07:36:00,Water,pH,5.7,,9,False,Drill Site,23.7029217,86.2546059,SENS-pH-014,Sita Devi
ER-004296,CG-001,2023-05-11,12:15:00,Air Quality,NOx,61.2,mg/m³,80,False,Drill Site,23.6829062,86.1489169,SENS-NOx-052,Rajesh Kumar
ER-004297,CG-001,2023-03-07,07:39:00,Air Quality,NOx,88.2,mg/m³,80,True,Effluent Treatment,24.0306746,85.5772217,SENS-NOx-003,Amit Patel
ER-004298,JH-003,2023-07-24,15:13:00,Dust,PM2.5,55.9,mg/m³,60,False,Pit Area,23.3302785,86.3958725,SENS-PM2-044,Sita Devi
ER-004299,JH-001,2023-06-30,12:11:00,Air Quality,SO2,43.5,mg/m³,80,False,Effluent Treatment,23.7095986,85.5508453,SENS-SO2-049,Amit Patel
ER-004300,CG-001,2023-07-05,11:40:00,Vibration,Whole Body,5.7,m/s²,5,True,Crusher Area,23.627416,86.1645744,SENS-Who-087,Amit Patel
ER-004301,CG-002,2023-03-14,02:13:00,Groundwater,Level,105.5,m,100,True,Effluent Treatment,23.6150648,86.0446353,SENS-Lev-063,Amit Patel
ER-004302,OD-002,2023-02-06,12:44:00,Noise,SPL,79.2,dB,85,False,Pit Area,23.8328896,86.1946735,SENS-SPL-039,Sita Devi
ER-004303,CG-002,2023-11-17,19:32:00,Water,TSS,73.2,mg/m³,100,False,Pit Area,23.3845726,86.2389676,SENS-TSS-047,Amit Patel
ER-004304,JH-002,2023-09-19,22:00:00,Water,pH,5.6,,9,False,Effluent Treatment,24.0868364,86.0805684,SENS-pH-006,Rajesh Kumar
ER-004305,JH-001,2023-10-08,12:36:00,Groundwater,Level,80.2,m,100,False,Crusher Area,24.0059635,86.0084134,SENS-Lev-061,Amit Patel
ER-004306,JH-002,2023-07-26,12:17:00,Dust,PM2.5,68.7,mg/m³,60,True,Drill Site,23.702207,86.0573811,SENS-PM2-047,Amit Patel
ER-004307,JH-001,2023-09-09,23:49:00,Vibration,Whole Body,3.2,m/s²,5,False,Effluent Treatment,23.2195125,86.0434718,SENS-Who-073,Rajesh Kumar
ER-004308,OD-002,2023-01-23,00:58:00,Noise,SPL,57.2,dB,85,False,Effluent Treatment,23.2143953,86.1806422,SENS-SPL-043,Rajesh Kumar
ER-004309,CG-001,2023-04-26,18:09:00,Dust,PM2.5,60.5,mg/m³,60,True,Drill Site,24.0503279,85.8463321,SENS-PM2-023,Amit Patel
ER-004310,CG-002,2023-01-18,13:49:00,Water,TSS,75.6,mg/m³,100,False,Pit Area,24.0947504,86.4350612,SENS-TSS-099,Rajesh Kumar
ER-004311,OD-002,2023-09-30,12:08:00,Dust,PM10,84.8,mg/m³,100,False,Pit Area,24.1317679,86.2620476,SENS-PM1-050,Amit Patel
ER-004312,JH-001,2023-04-05,08:15:00,Groundwater,Level,62.3,m,100,False,Effluent Treatment,23.6425177,86.1882934,SENS-Lev-009,Sita Devi
ER-004313,OD-001,2023-08-19,00:10:00,Groundwater,Level,55.0,m,100,False,Crusher Area,23.6309844,86.2699676,SENS-Lev-077,Rajesh Kumar
ER-004314,JH-003,2023-09-20,09:01:00,Groundwater,Level,80.0,m,100,False,Effluent Treatment,23.7610291,85.8923302,SENS-Lev-022,Rajesh Kumar
ER-004315,JH-001,2023-11-12,14:15:00,Air Quality,SO2,46.4,mg/m³,80,False,Crusher Area,23.4509397,85.7120878,SENS-SO2-097,Amit Patel
ER-004316,JH-002,2023-12-30,08:08:00,Noise,SPL,99.8,dB,85,True,Crusher Area,23.4574995,85.8019414,SENS-SPL-082,Sita Devi
ER-004317,CG-002,2023-05-28,16:07:00,Groundwater,Level,73.4,m,100,False,Effluent Treatment,23.3595211,86.3427918,SENS-Lev-069,Rajesh Kumar
ER-004318,OD-002,2023-11-28,13:50:00,Vibration,Whole Body,4.5,m/s²,5,False,Effluent Treatment,23.2683538,85.9090669,SENS-Who-003,Rajesh Kumar
ER-004319,OD-001,2023-02-15,05:09:00,Noise,SPL,101.7,dB,85,True,Crusher Area,23.2365735,85.5178206,SENS-SPL-060,Amit Patel
ER-004320,JH-003,2023-07-24,08:21:00,Water,pH,5.5,,9,False,Pit Area,23.3076484,85.5185879,SENS-pH-089,Sita Devi
ER-004321,JH-003,2023-04-17,16:29:00,Noise,SPL,78.0,dB,85,False,Drill Site,23.582259,85.9512137,SENS-SPL-094,Sita Devi
ER-004322,JH-003,2023-08-09,02:09:00,Groundwater,Level,79.0,m,100,False,Drill Site,23.4175828,85.7695152,SENS-Lev-037,Amit Patel
ER-004323,JH-001,2023-03-10,22:54:00,Noise,SPL,57.9,dB,85,False,Drill Site,23.6768287,85.4933669,SENS-SPL-035,Rajesh Kumar
ER-004324,OD-002,2023-04-05,06:55:00,Water,TSS,68.6,mg/m³,100,False,Effluent Treatment,23.8517917,85.6033165,SENS-TSS-087,Rajesh Kumar
ER-004325,JH-002,2023-01-18,23:44:00,Vibration,Whole Body,2.6,m/s²,5,False,Drill Site,23.9216395,85.4612847,SENS-Who-084,Sita Devi
ER-004326,JH-001,2023-06-23,17:46:00,Vibration,Whole Body,3.7,m/s²,5,False,Effluent Treatment,23.760966,85.9738562,SENS-Who-095,Sita Devi
ER-004327,CG-002,2023-11-04,05:34:00,Dust,PM10,60.6,mg/m³,100,False,Effluent Treatment,23.43223,86.3087686,SENS-PM1-100,Rajesh Kumar
ER-004328,OD-001,2023-01-01,03:27:00,Noise,SPL,79.2,dB,85,False,Pit Area,23.4511069,85.5275424,SENS-SPL-029,Sita Devi
ER-004329,CG-002,2023-01-09,15:18:00,Groundwater,Level,113.2,m,100,True,Pit Area,23.5161653,85.6437707,SENS-Lev-017,Sita Devi
ER-004330,OD-002,2023-11-18,02:45:00,Noise,SPL,78.8,dB,85,False,Pit Area,23.456501,85.7822416,SENS-SPL-042,Sita Devi
ER-004331,OD-001,2023-11-07,16:40:00,Vibration,Whole Body,3.6,m/s²,5,False,Crusher Area,23.6392957,86.3621588,SENS-Who-005,Amit Patel
ER-004332,OD-001,2023-03-23,13:22:00,Air Quality,SO2,79.9,mg/m³,80,False,Crusher Area,24.061778,86.0430882,SENS-SO2-082,Sita Devi
ER-004333,OD-002,2023-05-04,01:54:00,Dust,PM10,66.0,mg/m³,100,False,Effluent Treatment,23.936945,85.7198046,SENS-PM1-068,Amit Patel
ER-004334,CG-001,2023-03-21,21:28:00,Dust,PM2.5,60.0,mg/m³,60,False,Pit Area,23.572221,86.1219041,SENS-PM2-072,Rajesh Kumar
ER-004335,OD-002,2023-04-08,10:59:00,Vibration,Whole Body,5.7,m/s²,5,True,Drill Site,23.6748513,85.9184489,SENS-Who-009,Sita Devi
ER-004336,JH-003,2023-05-22,11:18:00,Noise,SPL,90.2,dB,85,True,Crusher Area,23.2744998,85.5109624,SENS-SPL-069,Amit Patel
ER-004337,CG-002,2023-08-10,07:56:00,Groundwater,Level,67.0,m,100,False,Drill Site,23.3752692,85.5054412,SENS-Lev-026,Sita Devi
ER-004338,JH-002,2023-01-02,14:56:00,Water,TSS,111.6,mg/m³,100,True,Crusher Area,23.9154111,86.2128012,SENS-TSS-043,Sita Devi
ER-004339,JH-003,2023-07-20,10:48:00,Groundwater,Level,67.3,m,100,False,Drill Site,24.0652046,86.3684234,SENS-Lev-016,Rajesh Kumar
ER-004340,OD-001,2023-11-05,07:57:00,Vibration,Whole Body,3.9,m/s²,5,False,Drill Site,23.9543637,86.3829499,SENS-Who-012,Sita Devi
ER-004341,OD-002,2023-05-17,23:04:00,Dust,PM10,107.1,mg/m³,100,True,Crusher Area,23.9943312,86.1894256,SENS-PM1-059,Rajesh Kumar
ER-004342,JH-002,2023-04-07,03:14:00,Noise,SPL,82.2,dB,85,False,Drill Site,23.3820347,85.830567,SENS-SPL-054,Sita Devi
ER-004343,JH-002,2023-07-05,07:39:00,Water,pH,9.2,,9,True,Drill Site,23.4160587,85.5863182,SENS-pH-027,Sita Devi
ER-004344,CG-001,2023-12-15,10:58:00,Groundwater,Level,68.4,m,100,False,Effluent Treatment,23.278389,85.5569928,SENS-Lev-076,Rajesh Kumar
ER-004345,OD-002,2023-01-29,05:58:00,Air Quality,SO2,66.7,mg/m³,80,False,Pit Area,24.1012488,86.2957521,SENS-SO2-050,Amit Patel
ER-004346,CG-002,2023-07-30,06:57:00,Air Quality,NOx,66.7,mg/m³,80,False,Crusher Area,24.1033912,85.9683777,SENS-NOx-077,Amit Patel
ER-004347,JH-003,2023-07-08,17:02:00,Air Quality,NOx,55.2,mg/m³,80,False,Drill Site,23.2161657,86.4281025,SENS-NOx-022,Sita Devi
ER-004348,JH-001,2023-05-30,12:46:00,Air Quality,SO2,43.9,mg/m³,80,False,Pit Area,23.4289639,85.7367247,SENS-SO2-076,Sita Devi
ER-004349,JH-001,2023-10-04,06:15:00,Air Quality,NOx,52.1,mg/m³,80,False,Pit Area,23.6553629,85.8930401,SENS-NOx-025,Amit Patel
ER-004350,CG-001,2023-12-22,15:36:00,Noise,SPL,77.2,dB,85,False,Drill Site,23.8549545,85.7776086,SENS-SPL-078,Amit Patel
ER-004351,JH-002,2023-09-09,16:11:00,Groundwater,Level,74.8,m,100,False,Pit Area,23.5177448,85.680542,SENS-Lev-057,Sita Devi
ER-004352,CG-002,2023-01-05,04:52:00,Dust,PM2.5,32.4,mg/m³,60,False,Crusher Area,23.6115834,86.1031652,SENS-PM2-075,Sita Devi
ER-004353,JH-001,2023-08-28,04:52:00,Water,TSS,80.7,mg/m³,100,False,Effluent Treatment,23.2807068,86.2216516,SENS-TSS-063,Amit Patel
ER-004354,JH-001,2023-03-03,08:07:00,Groundwater,Level,63.1,m,100,False,Drill Site,24.0734755,85.7338419,SENS-Lev-060,Amit Patel
ER-004355,JH-001,2023-01-17,13:29:00,Noise,SPL,55.7,dB,85,False,Drill Site,24.0350826,85.4731871,SENS-SPL-092,Rajesh Kumar
ER-004356,JH-002,2023-05-01,03:56:00,Air Quality,NOx,74.2,mg/m³,80,False,Drill Site,23.2013388,86.0028433,SENS-NOx-095,Amit Patel
ER-004357,JH-003,2023-03-01,17:31:00,Vibration,Whole Body,5.9,m/s²,5,True,Crusher Area,24.0087882,86.0590391,SENS-Who-024,Sita Devi
ER-004358,JH-001,2023-02-22,18:29:00,Air Quality,SO2,62.2,mg/m³,80,False,Crusher Area,23.9507179,85.6020041,SENS-SO2-002,Amit Patel
ER-004359,JH-002,2023-05-21,07:10:00,Noise,SPL,63.0,dB,85,False,Effluent Treatment,23.6691377,85.7417052,SENS-SPL-014,Rajesh Kumar
ER-004360,JH-002,2023-06-07,04:01:00,Air Quality,NOx,89.9,mg/m³,80,True,Crusher Area,23.7453055,85.4547907,SENS-NOx-091,Rajesh Kumar
ER-004361,JH-002,2023-03-12,09:15:00,Groundwater,Level,95.1,m,100,False,Effluent Treatment,23.3836853,85.4680277,SENS-Lev-011,Rajesh Kumar
ER-004362,CG-001,2023-07-24,19:18:00,Noise,SPL,73.3,dB,85,False,Drill Site,23.4091223,85.5471903,SENS-SPL-013,Amit Patel
ER-004363,JH-002,2023-04-13,17:02:00,Air Quality,NOx,78.2,mg/m³,80,False,Crusher Area,24.1170532,86.2165384,SENS-NOx-066,Amit Patel
ER-004364,JH-001,2023-10-22,15:44:00,Vibration,Whole Body,4.6,m/s²,5,False,Effluent Treatment,23.9227312,86.150375,SENS-Who-068,Amit Patel
ER-004365,JH-003,2023-11-14,04:59:00,Groundwater,Level,106.2,m,100,True,Effluent Treatment,23.6734267,86.3520914,SENS-Lev-084,Amit Patel
ER-004366,OD-001,2023-10-11,16:04:00,Air Quality,SO2,41.9,mg/m³,80,False,Pit Area,24.0126235,85.7580268,SENS-SO2-051,Amit Patel
ER-004367,JH-003,2023-01-26,14:00:00,Groundwater,Level,108.9,m,100,True,Pit Area,23.4510087,85.6959643,SENS-Lev-004,Sita Devi
ER-004368,OD-001,2023-02-12,18:35:00,Dust,PM2.5,31.8,mg/m³,60,False,Crusher Area,23.3231731,85.6713288,SENS-PM2-088,Rajesh Kumar
ER-004369,JH-003,2023-01-17,00:51:00,Water,TSS,88.7,mg/m³,100,False,Effluent Treatment,23.4724847,86.1832246,SENS-TSS-068,Rajesh Kumar
ER-004370,JH-002,2023-07-27,15:12:00,Groundwater,Level,113.7,m,100,True,Drill Site,23.8431911,85.6154819,SENS-Lev-005,Amit Patel
ER-004371,CG-001,2023-03-01,14:58:00,Noise,SPL,56.6,dB,85,False,Drill Site,23.8631194,85.4579523,SENS-SPL-036,Sita Devi
ER-004372,JH-003,2023-02-04,20:35:00,Noise,SPL,78.4,dB,85,False,Crusher Area,23.8458816,85.5072348,SENS-SPL-036,Sita Devi
ER-004373,JH-002,2023-04-13,16:27:00,Air Quality,SO2,73.3,mg/m³,80,False,Drill Site,23.7819184,86.0455443,SENS-SO2-009,Amit Patel
ER-004374,OD-001,2023-07-27,08:18:00,Water,pH,10.0,,9,True,Pit Area,23.3578548,86.1624229,SENS-pH-076,Sita Devi
ER-004375,JH-003,2023-10-31,02:55:00,Water,pH,8.1,,9,False,Pit Area,23.7275136,85.922513,SENS-pH-030,Amit Patel
ER-004376,JH-003,2023-07-26,15:28:00,Dust,PM2.5,63.7,mg/m³,60,True,Pit Area,24.1286071,85.537016,SENS-PM2-080,Sita Devi
ER-004377,JH-001,2023-04-19,22:27:00,Groundwater,Level,77.0,m,100,False,Crusher Area,24.0269708,86.4156979,SENS-Lev-081,Amit Patel
ER-004378,CG-002,2023-12-31,14:24:00,Dust,PM2.5,47.0,mg/m³,60,False,Crusher Area,23.3110626,86.1038756,SENS-PM2-093,Sita Devi
ER-004379,CG-001,2023-11-06,12:45:00,Water,pH,6.1,,9,False,Pit Area,23.4177558,85.5021831,SENS-pH-055,Rajesh Kumar
ER-004380,JH-003,2023-08-24,17:28:00,Vibration,Whole Body,4.7,m/s²,5,False,Pit Area,23.9568954,86.1298588,SENS-Who-054,Amit Patel
ER-004381,JH-001,2023-12-31,20:11:00,Air Quality,SO2,94.3,mg/m³,80,True,Effluent Treatment,23.7228065,85.9041379,SENS-SO2-065,Amit Patel
ER-004382,OD-001,2023-05-18,08:00:00,Dust,PM10,68.1,mg/m³,100,False,Drill Site,23.9493059,85.4952135,SENS-PM1-043,Rajesh Kumar
ER-004383,OD-001,2023-10-01,12:18:00,Groundwater,Level,91.2,m,100,False,Drill Site,23.2363979,85.9304828,SENS-Lev-099,Rajesh Kumar
ER-004384,JH-001,2023-11-26,14:14:00,Water,pH,6.7,,9,False,Effluent Treatment,23.6838412,86.1568184,SENS-pH-025,Amit Patel
ER-004385,CG-002,2023-12-30,17:10:00,Dust,PM10,84.2,mg/m³,100,False,Effluent Treatment,23.7185981,85.7085964,SENS-PM1-093,Amit Patel
ER-004386,CG-002,2023-04-08,09:25:00,Dust,PM10,95.4,mg/m³,100,False,Effluent Treatment,23.963995,85.5119878,SENS-PM1-041,Amit Patel
ER-004387,OD-001,2023-04-11,12:43:00,Air Quality,NOx,72.8,mg/m³,80,False,Effluent Treatment,23.9364409,85.8334151,SENS-NOx-090,Sita Devi
ER-004388,CG-002,2023-08-08,16:02:00,Air Quality,SO2,48.0,mg/m³,80,False,Drill Site,23.2808506,85.791846,SENS-SO2-067,Sita Devi
ER-004389,JH-002,2023-05-13,06:54:00,Noise,SPL,81.8,dB,85,False,Effluent Treatment,23.9825778,85.8101539,SENS-SPL-081,Rajesh Kumar
ER-004390,CG-002,2023-03-12,21:57:00,Air Quality,NOx,45.2,mg/m³,80,False,Drill Site,23.7998486,85.5727878,SENS-NOx-077,Sita Devi
ER-004391,JH-002,2023-02-17,01:49:00,Dust,PM2.5,56.5,mg/m³,60,False,Pit Area,24.0971779,86.3386652,SENS-PM2-007,Sita Devi
ER-004392,JH-001,2023-04-09,04:25:00,Vibration,Whole Body,4.9,m/s²,5,False,Pit Area,23.3467062,86.4253502,SENS-Who-011,Rajesh Kumar
ER-004393,OD-001,2023-01-06,01:28:00,Vibration,Whole Body,5.0,m/s²,5,False,Crusher Area,23.6594807,85.7881598,SENS-Who-089,Sita Devi
ER-004394,CG-002,2023-10-26,10:08:00,Vibration,Whole Body,3.5,m/s²,5,False,Pit Area,23.3657668,85.7648798,SENS-Who-059,Amit Patel
ER-004395,CG-001,2023-06-10,03:21:00,Groundwater,Level,113.0,m,100,True,Pit Area,23.7871315,85.6373417,SENS-Lev-052,Rajesh Kumar
ER-004396,CG-001,2023-07-07,12:33:00,Groundwater,Level,109.7,m,100,True,Pit Area,23.6596247,85.736783,SENS-Lev-003,Sita Devi
ER-004397,CG-002,2023-09-01,03:07:00,Dust,PM2.5,52.7,mg/m³,60,False,Effluent Treatment,23.3159571,86.309922,SENS-PM2-100,Sita Devi
ER-004398,CG-001,2023-11-25,19:41:00,Vibration,Whole Body,2.8,m/s²,5,False,Drill Site,23.8680709,86.3738037,SENS-Who-054,Amit Patel
ER-004399,CG-001,2023-02-19,17:46:00,Vibration,Whole Body,3.2,m/s²,5,False,Effluent Treatment,23.9834394,86.0801297,SENS-Who-073,Amit Patel
ER-004400,OD-001,2023-08-22,05:48:00,Noise,SPL,54.7,dB,85,False,Effluent Treatment,23.3854027,86.1854024,SENS-SPL-017,Rajesh Kumar
ER-004401,CG-001,2023-03-20,09:47:00,Dust,PM10,70.7,mg/m³,100,False,Pit Area,23.3476029,85.4813305,SENS-PM1-031,Amit Patel
ER-004402,OD-001,2023-07-18,20:40:00,Air Quality,SO2,67.6,mg/m³,80,False,Crusher Area,23.9784061,85.6788686,SENS-SO2-056,Rajesh Kumar
ER-004403,JH-003,2023-05-12,11:40:00,Groundwater,Level,79.1,m,100,False,Pit Area,24.1109726,85.6971308,SENS-Lev-020,Amit Patel
ER-004404,JH-001,2023-09-29,13:26:00,Dust,PM10,80.5,mg/m³,100,False,Crusher Area,23.4948738,86.1835852,SENS-PM1-045,Rajesh Kumar
ER-004405,JH-001,2023-06-21,22:10:00,Dust,PM2.5,42.4,mg/m³,60,False,Drill Site,24.0684229,86.4315317,SENS-PM2-059,Sita Devi
ER-004406,JH-001,2023-06-13,14:26:00,Air Quality,SO2,80.2,mg/m³,80,True,Drill Site,23.6478184,85.7075201,SENS-SO2-016,Amit Patel
ER-004407,CG-001,2023-07-02,19:06:00,Groundwater,Level,113.6,m,100,True,Pit Area,23.5459388,85.6372539,SENS-Lev-019,Sita Devi
ER-004408,JH-002,2023-04-15,13:03:00,Groundwater,Level,116.8,m,100,True,Effluent Treatment,23.3834777,86.1642487,SENS-Lev-070,Amit Patel
ER-004409,CG-002,2023-07-02,18:23:00,Dust,PM2.5,71.5,mg/m³,60,True,Pit Area,23.4949578,86.1744951,SENS-PM2-091,Amit Patel
ER-004410,JH-001,2023-11-28,06:06:00,Vibration,Whole Body,5.9,m/s²,5,True,Pit Area,23.3224181,85.4981318,SENS-Who-007,Sita Devi
ER-004411,JH-003,2023-01-09,15:14:00,Water,pH,6.8,,9,False,Effluent Treatment,23.386257,86.1281029,SENS-pH-063,Sita Devi
ER-004412,CG-002,2023-09-06,18:51:00,Water,pH,6.8,,9,False,Pit Area,23.8419791,85.5222367,SENS-pH-009,Rajesh Kumar
