grievance_id,mine_id,grievance_date,category,priority,raised_by,raised_by_type,description,description_hindi,assigned_officer,assigned_date,sla_days,resolution_status,resolution_date,resolution_notes
GRV-0151,JH-002,2023-02-25,Wages,Critical,Worker-0074,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-02-27,2,Resolved,2023-02-26,Resolved: Delayed wage payment
GRV-0152,JH-002,2023-07-31,Working Conditions,Low,Worker-0499,Worker,Excessive dust,अत्यधिक धूल,Sita Devi,2023-08-01,14,Resolved,2023-08-02,Resolved: Excessive dust
GRV-0153,OD-002,2023-09-11,Working Conditions,Critical,Worker-0168,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-09-14,2,Resolved,2023-09-13,Resolved: Unsafe working conditions
GRV-0154,JH-002,2023-02-03,Wages,High,Worker-0424,Worker,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-02-06,3,Open,,
GRV-0155,OD-002,2023-09-13,Working Conditions,High,Worker-0249,Worker,Poor ventilation,खराब हवादारी,Amit Patel,2023-09-16,3,Rejected,,
GRV-0156,JH-003,2023-09-07,Working Conditions,Low,Community Member-0723,Community Member,Excessive dust,अत्यधिक धूल,Amit Patel,2023-09-09,14,Resolved,2023-09-12,Resolved: Excessive dust
GRV-0157,JH-002,2023-03-01,Working Conditions,Low,Community Member-0622,Community Member,Poor ventilation,खराब हवादारी,Amit Patel,2023-03-04,14,Resolved,2023-03-15,Resolved: Poor ventilation
GRV-0158,CG-002,2023-05-14,Environment,Medium,Worker-0568,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Rajesh Kumar,2023-05-17,7,Resolved,2023-05-15,Resolved: Delayed wage payment
GRV-0159,CG-001,2023-01-05,Environment,Medium,Worker-0314,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-01-05,7,Resolved,2023-01-10,Resolved: Delayed wage payment
GRV-0160,CG-002,2023-05-31,Wages,Critical,Worker-0611,Worker,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-06-02,2,Open,,
GRV-0161,CG-001,2023-11-02,Environment,Medium,Worker-0947,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-11-02,7,Resolved,2023-11-08,Resolved: Unsafe working conditions
GRV-0162,JH-001,2023-12-09,Working Conditions,Low,Worker-0862,Worker,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-12-09,14,Resolved,2023-12-20,Resolved: Poor ventilation
GRV-0163,CG-001,2023-07-03,Safety,Low,Community Member-0401,Community Member,Poor ventilation,खराब हवादारी,Amit Patel,2023-07-06,14,Open,,
GRV-0164,CG-002,2023-06-27,Working Conditions,Low,Worker-0988,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Amit Patel,2023-06-27,14,Open,,
GRV-0165,JH-002,2023-10-05,Safety,Medium,Community Member-0361,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-10-08,7,In Progress,,
GRV-0166,JH-003,2023-04-03,Safety,Critical,Worker-0766,Worker,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-04-04,2,Resolved,2023-04-04,Resolved: Excessive dust
GRV-0167,JH-002,2023-06-04,Environment,High,Worker-0485,Worker,Excessive dust,अत्यधिक धूल,Sita Devi,2023-06-06,3,Open,,
GRV-0168,CG-001,2023-12-05,Community,High,Community Member-0012,Community Member,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-12-06,3,Open,,
GRV-0169,CG-002,2023-12-05,Wages,Medium,Community Member-0559,Community Member,Excessive dust,अत्यधिक धूल,Sita Devi,2023-12-08,7,Resolved,2023-12-06,Resolved: Excessive dust
GRV-0170,OD-001,2023-12-10,Working Conditions,Low,Worker-0734,Worker,Poor ventilation,खराब हवादारी,Amit Patel,2023-12-11,14,In Progress,,
GRV-0171,JH-001,2023-03-21,Safety,Critical,Worker-0302,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Rajesh Kumar,2023-03-23,2,Resolved,2023-03-22,Resolved: Delayed wage payment
GRV-0172,CG-002,2023-08-30,Community,Medium,Worker-0850,Worker,Noise pollution,शोर प्रदूषण,Amit Patel,2023-08-30,7,Resolved,2023-08-31,Resolved: Noise pollution
GRV-0173,OD-002,2023-11-30,Community,Low,Community Member-0225,Community Member,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-11-30,14,Rejected,,
GRV-0174,JH-003,2023-10-31,Wages,High,Worker-0004,Worker,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-11-02,3,In Progress,,
GRV-0175,JH-001,2023-04-02,Community,High,Worker-0479,Worker,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-04-03,3,Resolved,2023-04-05,Resolved: Excessive dust
GRV-0176,JH-001,2023-09-22,Community,Critical,Worker-0751,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-09-22,2,Escalated,,
GRV-0177,OD-001,2023-10-02,Wages,Low,Community Member-0996,Community Member,Excessive dust,अत्यधिक धूल,Sita Devi,2023-10-05,14,Resolved,2023-10-07,Resolved: Excessive dust
GRV-0178,OD-001,2023-05-04,Wages,Medium,Worker-0172,Worker,Excessive dust,अत्यधिक धूल,Sita Devi,2023-05-04,7,Resolved,2023-05-10,Resolved: Excessive dust
GRV-0179,CG-002,2023-04-11,Community,Critical,Worker-0195,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-04-12,2,Escalated,,
GRV-0180,JH-002,2023-04-26,Community,Critical,Community Member-0223,Community Member,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-04-28,2,In Progress,,
GRV-0181,OD-002,2023-09-29,Community,Critical,Worker-0776,Worker,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-09-30,2,Resolved,2023-10-01,Resolved: Poor ventilation
GRV-0182,OD-001,2023-02-16,Working Conditions,Medium,Worker-0756,Worker,Poor ventilation,खराब हवादारी,Amit Patel,2023-02-18,7,Open,,
GRV-0183,JH-003,2023-11-05,Working Conditions,Critical,Worker-0602,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-11-07,2,Open,,
GRV-0184,JH-002,2023-11-18,Safety,Medium,Worker-0959,Worker,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-11-18,7,In Progress,,
GRV-0185,CG-001,2023-08-15,Community,Low,Worker-0969,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Amit Patel,2023-08-17,14,Open,,
GRV-0186,OD-001,2023-08-08,Community,Medium,Community Member-0205,Community Member,Poor ventilation,खराब हवादारी,Sita Devi,2023-08-10,7,Resolved,2023-08-10,Resolved: Poor ventilation
GRV-0187,OD-002,2023-03-07,Working Conditions,Medium,Community Member-0525,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-03-08,7,Escalated,,
GRV-0188,JH-001,2023-05-20,Safety,Critical,Community Member-0998,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-05-23,2,Resolved,2023-05-22,Resolved: Unsafe working conditions
GRV-0189,JH-002,2023-03-04,Environment,Medium,Worker-0672,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Amit Patel,2023-03-05,7,Escalated,,
GRV-0190,JH-003,2023-09-18,Community,Medium,Community Member-0752,Community Member,Excessive dust,अत्यधिक धूल,Amit Patel,2023-09-19,7,Resolved,2023-09-20,Resolved: Excessive dust
GRV-0191,OD-002,2023-05-22,Environment,Critical,Worker-0735,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-05-22,2,Resolved,2023-05-24,Resolved: Unsafe working conditions
GRV-0192,CG-002,2023-03-05,Wages,Medium,Community Member-0585,Community Member,Noise pollution,शोर प्रदूषण,Amit Patel,2023-03-06,7,Resolved,2023-03-12,Resolved: Noise pollution
GRV-0193,OD-002,2023-07-19,Environment,Critical,Community Member-0320,Community Member,Excessive dust,अत्यधिक धूल,Amit Patel,2023-07-19,2,Resolved,2023-07-20,Resolved: Excessive dust
GRV-0194,JH-002,2023-06-16,Environment,Medium,Worker-0466,Worker,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-06-17,7,Resolved,2023-06-22,Resolved: Excessive dust
GRV-0195,CG-001,2023-06-15,Community,High,Community Member-0204,Community Member,Poor ventilation,खराब हवादारी,Amit Patel,2023-06-17,3,Open,,
GRV-0196,CG-002,2023-12-01,Safety,High,Worker-0340,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-12-03,3,Open,,
GRV-0197,CG-002,2023-12-05,Community,High,Worker-0193,Worker,Poor ventilation,खराब हवादारी,Sita Devi,2023-12-08,3,Resolved,2023-12-07,Resolved: Poor ventilation
GRV-0198,OD-001,2023-04-02,Community,Critical,Worker-0628,Worker,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-04-05,2,In Progress,,
GRV-0199,OD-002,2023-07-19,Environment,Low,Worker-0629,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-07-19,14,Resolved,2023-07-28,Resolved: Unsafe working conditions
GRV-0200,OD-002,2023-12-28,Working Conditions,High,Worker-0845,Worker,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-12-31,3,Open,,
GRV-0201,JH-002,2023-07-29,Community,Critical,Community Member-0950,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-07-30,2,Resolved,2023-07-31,Resolved: Delayed wage payment
GRV-0202,OD-002,2023-01-10,Community,High,Worker-0627,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Rajesh Kumar,2023-01-12,3,Open,,
GRV-0203,CG-002,2023-06-28,Working Conditions,High,Worker-0701,Worker,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-06-29,3,Resolved,2023-06-30,Resolved: Excessive dust
GRV-0204,CG-002,2023-09-17,Environment,Medium,Worker-0764,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-09-19,7,In Progress,,
GRV-0205,JH-003,2023-01-25,Working Conditions,Critical,Worker-0383,Worker,Excessive dust,अत्यधिक धूल,Sita Devi,2023-01-26,2,Resolved,2023-01-26,Resolved: Excessive dust
GRV-0206,JH-002,2023-02-28,Environment,Low,Worker-0777,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-03-03,14,Open,,
GRV-0207,JH-003,2023-03-29,Safety,High,Worker-0450,Worker,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-03-31,3,Resolved,2023-04-01,Resolved: Poor ventilation
GRV-0208,JH-001,2023-10-24,Wages,Critical,Community Member-0083,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-10-26,2,Open,,
GRV-0209,JH-001,2023-12-11,Environment,Low,Community Member-0208,Community Member,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-12-14,14,Resolved,2023-12-22,Resolved: Noise pollution
GRV-0210,OD-002,2023-01-11,Working Conditions,Low,Worker-0041,Worker,Noise pollution,शोर प्रदूषण,Amit Patel,2023-01-13,14,In Progress,,
GRV-0211,JH-001,2023-10-15,Community,Medium,Worker-0826,Worker,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-10-15,7,In Progress,,
GRV-0212,OD-002,2023-10-04,Safety,High,Worker-0693,Worker,Noise pollution,शोर प्रदूषण,Amit Patel,2023-10-06,3,In Progress,,
GRV-0213,JH-003,2023-01-02,Safety,High,Worker-0461,Worker,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-01-04,3,In Progress,,
GRV-0214,JH-002,2023-09-22,Environment,Low,Worker-0396,Worker,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-09-24,14,In Progress,,
GRV-0215,OD-002,2023-01-15,Working Conditions,Medium,Community Member-0404,Community Member,Poor ventilation,खराब हवादारी,Sita Devi,2023-01-17,7,Escalated,,
GRV-0216,OD-001,2023-01-17,Working Conditions,Medium,Worker-0641,Worker,Excessive dust,अत्यधिक धूल,Sita Devi,2023-01-19,7,Resolved,2023-01-22,Resolved: Excessive dust
GRV-0217,JH-001,2023-07-05,Environment,High,Community Member-0405,Community Member,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-07-08,3,Open,,
GRV-0218,JH-003,2023-06-18,Working Conditions,High,Community Member-0497,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Rajesh Kumar,2023-06-19,3,Resolved,2023-06-20,Resolved: Delayed wage payment
GRV-0219,CG-001,2023-01-23,Working Conditions,Medium,Community Member-0459,Community Member,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-01-25,7,In Progress,,
GRV-0220,JH-001,2023-09-23,Wages,Medium,Community Member-0900,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-09-24,7,Resolved,2023-09-29,Resolved: Delayed wage payment
GRV-0221,OD-002,2023-05-12,Working Conditions,Low,Worker-0566,Worker,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-05-14,14,Open,,
GRV-0222,JH-002,2023-04-01,Community,Low,Community Member-0288,Community Member,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-04-01,14,Open,,
GRV-0223,JH-003,2023-01-06,Safety,Medium,Community Member-0541,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-01-08,7,Open,,
GRV-0224,OD-002,2023-09-03,Working Conditions,Medium,Community Member-0981,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-09-06,7,Open,,
GRV-0225,CG-002,2023-06-06,Safety,High,Community Member-0395,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Amit Patel,2023-06-08,3,In Progress,,
GRV-0226,OD-002,2023-03-06,Community,Low,Worker-0710,Worker,Poor ventilation,खराब हवादारी,Sita Devi,2023-03-06,14,Open,,
GRV-0227,JH-001,2023-06-24,Safety,High,Worker-0915,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-06-25,3,In Progress,,
GRV-0228,JH-001,2023-11-07,Community,Low,Community Member-0791,Community Member,Noise pollution,शोर प्रदूषण,Sita Devi,2023-11-09,14,Escalated,,
GRV-0229,JH-002,2023-06-16,Environment,Low,Worker-0817,Worker,Excessive dust,अत्यधिक धूल,Amit Patel,2023-06-19,14,Open,,
GRV-0230,OD-001,2023-07-25,Environment,High,Community Member-0180,Community Member,Poor ventilation,खराब हवादारी,Amit Patel,2023-07-27,3,Open,,
GRV-0231,JH-003,2023-03-25,Safety,Low,Worker-0749,Worker,Excessive dust,अत्यधिक धूल,Sita Devi,2023-03-28,14,In Progress,,
GRV-0232,CG-001,2023-11-21,Safety,Low,Community Member-0876,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-11-22,14,Resolved,2023-11-27,Resolved: Delayed wage payment
GRV-0233,JH-002,2023-05-29,Wages,Medium,Worker-0048,Worker,Poor ventilation,खराब हवादारी,Sita Devi,2023-05-30,7,Open,,
GRV-0234,CG-002,2023-02-15,Environment,Critical,Worker-0343,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-02-16,2,Rejected,,
GRV-0235,JH-003,2023-02-11,Wages,High,Worker-0385,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Rajesh Kumar,2023-02-14,3,Resolved,2023-02-14,Resolved: Delayed wage payment
GRV-0236,OD-002,2023-02-05,Community,Critical,Community Member-0636,Community Member,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-02-06,2,Resolved,2023-02-06,Resolved: Excessive dust
GRV-0237,JH-003,2023-12-18,Working Conditions,Low,Community Member-0595,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Amit Patel,2023-12-20,14,Open,,
GRV-0238,OD-001,2023-03-30,Environment,Critical,Worker-0325,Worker,Noise pollution,शोर प्रदूषण,Amit Patel,2023-04-01,2,Open,,
GRV-0239,OD-001,2023-03-28,Wages,Low,Community Member-0727,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-03-28,14,Resolved,2023-04-07,Resolved: Delayed wage payment
GRV-0240,CG-001,2023-07-22,Safety,Critical,Community Member-0603,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-07-24,2,Open,,
GRV-0241,OD-002,2023-12-25,Wages,Critical,Community Member-0110,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-12-27,2,In Progress,,
GRV-0242,CG-002,2023-03-22,Community,High,Community Member-0250,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Rajesh Kumar,2023-03-25,3,Open,,
GRV-0243,CG-002,2023-09-03,Community,Low,Worker-0692,Worker,Poor ventilation,खराब हवादारी,Amit Patel,2023-09-06,14,Resolved,2023-09-12,Resolved: Poor ventilation
GRV-0244,JH-003,2023-08-26,Environment,Medium,Community Member-0857,Community Member,Noise pollution,शोर प्रदूषण,Amit Patel,2023-08-26,7,In Progress,,
GRV-0245,JH-001,2023-03-26,Safety,Critical,Community Member-0555,Community Member,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-03-27,2,Escalated,,
GRV-0246,CG-002,2023-03-24,Safety,Medium,Worker-0887,Worker,Noise pollution,शोर प्रदूषण,Sita Devi,2023-03-24,7,Resolved,2023-03-27,Resolved: Noise pollution
GRV-0247,JH-002,2023-02-26,Environment,Critical,Community Member-0561,Community Member,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-03-01,2,Open,,
GRV-0248,CG-001,2023-07-24,Environment,High,Worker-0145,Worker,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-07-27,3,Resolved,2023-07-25,Resolved: Poor ventilation
GRV-0249,JH-002,2023-05-02,Safety,Low,Community Member-0984,Community Member,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-05-04,14,Resolved,2023-05-09,Resolved: Poor ventilation
GRV-0250,CG-001,2023-07-18,Wages,Low,Worker-0405,Worker,Noise pollution,शोर प्रदूषण,Sita Devi,2023-07-18,14,Resolved,2023-08-01,Resolved: Noise pollution
GRV-0251,JH-002,2023-04-21,Environment,High,Community Member-0466,Community Member,Poor ventilation,खराब हवादारी,Sita Devi,2023-04-21,3,In Progress,,
GRV-0252,JH-003,2023-12-22,Working Conditions,Medium,Worker-0236,Worker,Noise pollution,शोर प्रदूषण,Sita Devi,2023-12-24,7,Resolved,2023-12-26,Resolved: Noise pollution
GRV-0253,JH-002,2023-09-10,Wages,Low,Worker-0616,Worker,Poor ventilation,खराब हवादारी,Amit Patel,2023-09-10,14,In Progress,,
GRV-0254,JH-001,2023-12-29,Working Conditions,Low,Worker-0487,Worker,Noise pollution,शोर प्रदूषण,Amit Patel,2023-12-29,14,Resolved,2024-01-08,Resolved: Noise pollution
GRV-0255,CG-001,2023-09-15,Wages,High,Worker-0086,Worker,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-09-18,3,Open,,
GRV-0256,CG-002,2023-03-03,Environment,Low,Worker-0605,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Amit Patel,2023-03-06,14,Open,,
GRV-0257,CG-002,2023-07-18,Environment,High,Community Member-0562,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Sita Devi,2023-07-20,3,In Progress,,
GRV-0258,CG-001,2023-11-15,Wages,Critical,Community Member-0196,Community Member,Poor ventilation,खराब हवादारी,Amit Patel,2023-11-16,2,In Progress,,
GRV-0259,OD-001,2023-06-30,Community,Critical,Worker-0848,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Rajesh Kumar,2023-06-30,2,Resolved,2023-07-01,Resolved: Delayed wage payment
GRV-0260,JH-001,2023-09-26,Working Conditions,Medium,Worker-0206,Worker,Noise pollution,शोर प्रदूषण,Amit Patel,2023-09-29,7,Resolved,2023-10-01,Resolved: Noise pollution
GRV-0261,CG-002,2023-12-08,Safety,High,Community Member-0337,Community Member,Excessive dust,अत्यधिक धूल,Amit Patel,2023-12-09,3,Resolved,2023-12-09,Resolved: Excessive dust
GRV-0262,JH-003,2023-04-21,Environment,Low,Worker-0239,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-04-23,14,Open,,
GRV-0263,CG-002,2023-11-29,Safety,Low,Community Member-0587,Community Member,Poor ventilation,खराब हवादारी,Amit Patel,2023-11-29,14,In Progress,,
GRV-0264,OD-002,2023-07-19,Environment,High,Worker-0717,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Rajesh Kumar,2023-07-21,3,Resolved,2023-07-21,Resolved: Delayed wage payment
GRV-0265,CG-002,2023-04-27,Environment,Low,Community Member-0480,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Rajesh Kumar,2023-04-29,14,Rejected,,
GRV-0266,OD-002,2023-12-20,Working Conditions,Medium,Community Member-0027,Community Member,Poor ventilation,खराब हवादारी,Rajesh Kumar,2023-12-23,7,Resolved,2023-12-25,Resolved: Poor ventilation
GRV-0267,JH-003,2023-01-03,Safety,High,Worker-0947,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-01-04,3,Resolved,2023-01-05,Resolved: Delayed wage payment
GRV-0268,JH-001,2023-11-09,Community,Low,Worker-0045,Worker,Poor ventilation,खराब हवादारी,Sita Devi,2023-11-11,14,Resolved,2023-11-12,Resolved: Poor ventilation
GRV-0269,JH-001,2023-12-19,Safety,High,Worker-0154,Worker,Excessive dust,अत्यधिक धूल,Sita Devi,2023-12-21,3,In Progress,,
GRV-0270,OD-002,2023-01-20,Wages,Low,Worker-0020,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-01-22,14,Open,,
GRV-0271,JH-002,2023-06-11,Community,Medium,Community Member-0448,Community Member,Excessive dust,अत्यधिक धूल,Sita Devi,2023-06-13,7,Resolved,2023-06-12,Resolved: Excessive dust
GRV-0272,JH-003,2023-08-28,Working Conditions,Low,Worker-0572,Worker,Noise pollution,शोर प्रदूषण,Amit Patel,2023-08-29,14,Resolved,2023-09-03,Resolved: Noise pollution
GRV-0273,OD-001,2023-08-27,Safety,High,Worker-0190,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-08-28,3,In Progress,,
GRV-0274,OD-001,2023-05-23,Working Conditions,Low,Community Member-0242,Community Member,Delayed wage payment,विलंबित वेतन भुगतान,Amit Patel,2023-05-25,14,Open,,
GRV-0275,JH-002,2023-09-15,Safety,Critical,Community Member-0773,Community Member,Excessive dust,अत्यधिक धूल,Amit Patel,2023-09-18,2,In Progress,,
GRV-0276,JH-003,2023-04-29,Wages,High,Community Member-0263,Community Member,Noise pollution,शोर प्रदूषण,Amit Patel,2023-04-30,3,Resolved,2023-05-02,Resolved: Noise pollution
GRV-0277,CG-002,2023-11-16,Working Conditions,Medium,Worker-0719,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-11-17,7,Resolved,2023-11-23,Resolved: Unsafe working conditions
GRV-0278,CG-001,2023-08-19,Safety,Medium,Community Member-0267,Community Member,Poor ventilation,खराब हवादारी,Amit Patel,2023-08-19,7,Resolved,2023-08-25,Resolved: Poor ventilation
GRV-0279,JH-002,2023-12-08,Wages,Critical,Worker-0942,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-12-11,2,Resolved,2023-12-10,Resolved: Unsafe working conditions
GRV-0280,CG-001,2023-07-30,Environment,High,Worker-0628,Worker,Poor ventilation,खराब हवादारी,Sita Devi,2023-07-31,3,Resolved,2023-08-01,Resolved: Poor ventilation
GRV-0281,JH-001,2023-06-07,Wages,Critical,Worker-0278,Worker,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-06-07,2,Rejected,,
GRV-0282,JH-002,2023-09-19,Community,Low,Community Member-0846,Community Member,Noise pollution,शोर प्रदूषण,Sita Devi,2023-09-21,14,In Progress,,
GRV-0283,CG-001,2023-12-22,Working Conditions,Critical,Community Member-0569,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-12-22,2,Resolved,2023-12-23,Resolved: Unsafe working conditions
GRV-0284,JH-002,2023-10-04,Working Conditions,Low,Worker-0588,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-10-04,14,Resolved,2023-10-05,Resolved: Unsafe working conditions
GRV-0285,CG-001,2023-12-10,Wages,Medium,Worker-0149,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Amit Patel,2023-12-12,7,Resolved,2023-12-14,Resolved: Unsafe working conditions
GRV-0286,JH-002,2023-04-29,Safety,Low,Worker-0592,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-05-02,14,In Progress,,
GRV-0287,JH-001,2023-04-23,Community,Medium,Worker-0851,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Rajesh Kumar,2023-04-25,7,Resolved,2023-04-25,Resolved: Unsafe working conditions
GRV-0288,OD-001,2023-04-13,Working Conditions,High,Worker-0485,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Amit Patel,2023-04-13,3,Open,,
GRV-0289,JH-002,2023-02-18,Community,Critical,Community Member-0790,Community Member,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Amit Patel,2023-02-19,2,In Progress,,
GRV-0290,CG-001,2023-06-21,Wages,Critical,Worker-0692,Worker,Poor ventilation,खराब हवादारी,Amit Patel,2023-06-24,2,In Progress,,
GRV-0291,CG-001,2023-09-14,Community,Low,Worker-0072,Worker,Poor ventilation,खराब हवादारी,Amit Patel,2023-09-15,14,Resolved,2023-09-28,Resolved: Poor ventilation
GRV-0292,JH-002,2023-04-13,Safety,High,Community Member-0188,Community Member,Excessive dust,अत्यधिक धूल,Rajesh Kumar,2023-04-14,3,In Progress,,
GRV-0293,CG-002,2023-08-13,Wages,Critical,Community Member-0577,Community Member,Excessive dust,अत्यधिक धूल,Sita Devi,2023-08-14,2,In Progress,,
GRV-0294,CG-002,2023-05-11,Working Conditions,High,Community Member-0664,Community Member,Noise pollution,शोर प्रदूषण,Sita Devi,2023-05-13,3,In Progress,,
GRV-0295,JH-003,2023-12-25,Community,Low,Worker-0841,Worker,Noise pollution,शोर प्रदूषण,Amit Patel,2023-12-27,14,In Progress,,
GRV-0296,JH-002,2023-05-31,Wages,High,Community Member-0369,Community Member,Noise pollution,शोर प्रदूषण,Amit Patel,2023-06-03,3,Resolved,2023-06-03,Resolved: Noise pollution
GRV-0297,JH-002,2023-11-07,Environment,Low,Worker-0460,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Sita Devi,2023-11-07,14,Escalated,,
GRV-0298,JH-003,2023-12-19,Working Conditions,Critical,Worker-0248,Worker,Noise pollution,शोर प्रदूषण,Rajesh Kumar,2023-12-19,2,In Progress,,
GRV-0299,JH-001,2023-12-24,Working Conditions,High,Worker-0698,Worker,Delayed wage payment,विलंबित वेतन भुगतान,Rajesh Kumar,2023-12-25,3,Resolved,2023-12-27,Resolved: Delayed wage payment
GRV-0300,CG-002,2023-06-03,Working Conditions,Low,Worker-0186,Worker,Poor ventilation,खराब हवादारी,Amit Patel,2023-06-04,14,Escalated,,
GRV-0301,CG-002,2023-03-15,Environment,High,Worker-0580,Worker,Poor ventilation,खराब हवादारी,Sita Devi,2023-03-16,3,Open,,
GRV-0302,CG-001,2023-07-07,Safety,Critical,Worker-0296,Worker,Unsafe working conditions,असुरक्षित कार्य स्थितियां,Amit Patel,2023-07-10,2,In Progress,,
